"","Geneid","control.cells_1","control.cells_2","control.cells_3","IL.10.cells_1","IL.10.cells_2","IL.10.cells_3"
"Apoo","Apoo",503,766,540,613,699,731
"Zfx","Zfx",458,655,549,725,721,590
"Tmsb10","Tmsb10",816,1038,852,1108,986,1174
"H2.DMb1","H2-DMb1",939,1296,1122,1556,1473,1550
"Kifc1","Kifc1",330,439,304,440,333,370
"Aox2","Aox2",0,1,0,0,0,0
"Haus3","Haus3",236,332,225,372,327,426
"X44987.1","44987",1128,1364,1208,1425,1311,1437
"Maea","Maea",3208,4051,3703,4286,4191,4178
"Rbpj.ps3","Rbpj-ps3",21,15,15,21,17,21
"Tmem217","Tmem217",18,27,24,27,26,15
"Gm364","Gm364",0,2,0,6,0,4
"Stard6","Stard6",12,19,24,20,32,21
"Ankrd39","Ankrd39",217,274,241,218,257,227
"Seh1l","Seh1l",1253,1499,1458,1605,1404,1541
"Tm4sf19","Tm4sf19",74,75,64,69,96,40
"Rpl39","Rpl39",3210,3718,2914,3798,4384,4650
"Gm1110","Gm1110",0,0,0,0,0,2
"Eloc","Eloc",991,1149,1031,1314,1148,1313
"Tmem243","Tmem243",107,164,129,158,145,170
"X2610203C22Rik","2610203C22Rik",61,84,100,61,42,45
"Ulbp1","Ulbp1",441,592,661,1097,972,1195
"X3110001I22Rik","3110001I22Rik",59,44,52,49,30,61
"AC168977.1","AC168977.1",97,89,112,143,121,152
"Tmlhe","Tmlhe",1558,1790,1881,2619,2596,2960
"Gm10698","Gm10698",36,30,26,70,38,41
"Gm11273","Gm11273",22,29,11,35,27,42
"Eef1akmt3","Eef1akmt3",4,5,6,0,3,4
"Atp6v0c.ps2","Atp6v0c-ps2",387,455,326,452,422,462
"B230307C23Rik","B230307C23Rik",43,77,53,36,52,46
"C920021L13Rik","C920021L13Rik",24,38,22,21,10,5
"Rps2.ps9","Rps2-ps9",0,0,4,10,1,0
"Gm12174","Gm12174",25,38,39,37,43,50
"Gm8250","Gm8250",3,4,0,0,0,0
"Gm15760","Gm15760",10,7,32,21,6,10
"Gm9385","Gm9385",24,30,9,27,25,24
"Gm7332","Gm7332",14,17,12,27,8,19
"Rpl38.ps2","Rpl38-ps2",217,218,220,237,188,198
"Gm7278","Gm7278",1,1,0,1,0,1
"Rps24.ps3","Rps24-ps3",14,4,7,22,8,13
"Gm15427","Gm15427",394,513,291,448,415,492
"Hist2h3c2","Hist2h3c2",126,152,176,310,344,261
"Gm13181","Gm13181",0,1,0,1,2,0
"Rps15a.ps7","Rps15a-ps7",29,20,9,27,24,15
"Rpl19.ps11","Rpl19-ps11",420,626,444,468,524,507
"Gm5270","Gm5270",0,0,0,0,0,0
"Gm5913","Gm5913",14,15,14,17,18,14
"BC022960","BC022960",4,13,11,18,26,11
"Gm6024","Gm6024",0,0,0,0,0,0
"Gm14760","Gm14760",10,48,15,20,18,38
"Gm12164","Gm12164",35,43,29,39,56,66
"Gm13509","Gm13509",139,186,173,209,201,151
"Gm14303","Gm14303",62,84,47,64,62,71
"Rpl18.ps1","Rpl18-ps1",11,14,11,24,20,27
"Gm13680","Gm13680",26,21,19,12,17,25
"Gm15455","Gm15455",1,0,2,1,1,1
"Rps6.ps4","Rps6-ps4",178,248,212,245,206,170
"Gm14165","Gm14165",12,9,2,5,6,10
"Gm12338","Gm12338",78,84,50,103,93,84
"Slc48a1","Slc48a1",18070,23106,21214,23853,24777,25200
"Gm12286","Gm12286",20,11,3,5,12,8
"Gm11518","Gm11518",18,12,11,27,15,20
"Gm11605","Gm11605",7,19,4,15,11,8
"Gm15922","Gm15922",110,63,102,179,132,140
"Gm15697","Gm15697",0,1,1,0,1,3
"Gm6325","Gm6325",8,2,12,8,5,11
"Gm5898","Gm5898",12,11,17,9,10,10
"BC002163","BC002163",35,61,34,62,45,63
"Gm13669","Gm13669",23,47,66,43,27,39
"Rpl17.ps5","Rpl17-ps5",16,30,22,32,24,28
"Rpl17.ps10","Rpl17-ps10",42,32,32,60,61,56
"Gm15536","Gm15536",5,4,4,10,6,14
"Gm13408","Gm13408",14,1,9,14,18,3
"Gm13461","Gm13461",44,42,29,70,19,26
"Pgam1.ps2","Pgam1-ps2",172,227,143,205,168,155
"H3f3c","H3f3c",45,61,42,62,67,73
"Snrpert","Snrpert",64,49,44,58,108,90
"Gm11585","Gm11585",40,20,28,20,21,23
"Ftl2.ps","Ftl2-ps",577,762,533,797,737,1030
"Gm13230","Gm13230",82,84,79,69,78,86
"Gm13577","Gm13577",5,27,13,18,23,14
"Gm14276","Gm14276",73,93,75,98,54,46
"Gm14231","Gm14231",0,0,0,0,0,0
"H3f3a.ps1","H3f3a-ps1",28,28,26,33,42,23
"Pisd.ps1","Pisd-ps1",28,23,20,43,14,39
"Gm12250","Gm12250",1,0,4,8,5,3
"Gm16523","Gm16523",0,0,1,0,0,0
"Gm8822","Gm8822",44,25,46,81,30,47
"Gm11425","Gm11425",8,5,2,5,3,2
"Gm13776","Gm13776",0,0,0,6,0,0
"Gm13456","Gm13456",252,314,252,289,240,272
"Gm14336","Gm14336",0,0,0,0,0,4
"Gm15387","Gm15387",14,16,11,15,29,11
"Fau.ps2","Fau-ps2",0,0,0,0,1,1
"Gm11470","Gm11470",13,1,13,12,9,4
"Gm11914","Gm11914",4,16,6,11,22,16
"Dynlt1.ps1","Dynlt1-ps1",13,12,14,19,20,21
"Gm12366","Gm12366",6,1,12,6,8,6
"X1700064H15Rik","1700064H15Rik",0,0,2,0,0,2
"Gm14150","Gm14150",11,26,20,55,30,34
"Gm14537","Gm14537",0,1,1,0,0,3
"Gm5844","Gm5844",16,29,17,26,15,16
"Gm11462","Gm11462",0,0,5,6,6,0
"Gm8172","Gm8172",20,8,2,3,0,12
"Gm7658","Gm7658",7,12,1,4,7,28
"Gm6884","Gm6884",0,0,0,0,0,0
"Fam220a","Fam220a",2,4,0,11,0,0
"Gm12191","Gm12191",19,19,19,22,20,22
"Gm11249","Gm11249",21,7,19,8,7,16
"Gm14494","Gm14494",49,55,39,38,49,62
"Gm11427","Gm11427",287,339,304,404,387,418
"Gm12693","Gm12693",15,9,9,7,6,4
"Gm13453","Gm13453",34,20,34,28,52,35
"Ctsf","Ctsf",9468,12069,10798,9328,9295,9348
"Vcp.rs","Vcp-rs",130,221,129,171,180,161
"Gm11539","Gm11539",11,8,4,9,10,10
"Gm14237","Gm14237",0,0,0,0,0,0
"Llph.ps2","Llph-ps2",11,18,15,13,11,14
"Gm15542","Gm15542",14,16,10,17,10,11
"Gm11263","Gm11263",23,38,28,29,10,30
"Gm13340","Gm13340",27,29,24,20,23,24
"Gm11451","Gm11451",132,163,124,163,139,200
"Gm14586","Gm14586",24,30,26,26,18,25
"Gm4459","Gm4459",20,24,15,14,23,27
"Gm6088","Gm6088",262,263,352,405,488,454
"Gm12989","Gm12989",13,11,4,13,13,16
"Gm12687","Gm12687",0,0,0,0,0,0
"Gm13436","Gm13436",45,48,25,35,38,25
"Rps15a.ps4","Rps15a-ps4",4,2,1,5,4,5
"Gm13394","Gm13394",29,41,29,29,54,56
"Gm13033","Gm13033",29,26,18,18,31,14
"Gm13841","Gm13841",7,23,18,15,35,15
"Ube2d.ps","Ube2d-ps",240,237,206,275,268,241
"Gm12346","Gm12346",54,69,48,82,54,43
"Gm11478","Gm11478",18,10,25,24,18,10
"Gm14270","Gm14270",58,89,79,97,61,92
"Gm6136","Gm6136",90,101,65,104,89,114
"Gm15710","Gm15710",64,61,63,75,65,42
"Gm12696","Gm12696",8,14,14,20,26,29
"Gm13474","Gm13474",0,0,0,0,0,0
"Gm6977","Gm6977",20,9,9,25,20,22
"Tpt1.ps3","Tpt1-ps3",80,125,66,111,97,97
"Rpl3.ps1","Rpl3-ps1",389,632,370,625,461,506
"Znf41.ps","Znf41-ps",65,94,66,59,36,77
"Gm12251","Gm12251",9,18,16,41,12,6
"Gm15666","Gm15666",0,0,0,0,0,0
"Rpl10a.ps1","Rpl10a-ps1",146,177,136,147,144,198
"Gm22343","Gm22343",1,0,0,0,0,0
"Gm25047","Gm25047",19,14,31,68,34,53
"Ubl5","Ubl5",1549,1695,1583,1976,1974,1726
"Gm15879","Gm15879",5,1,2,1,2,4
"X1700056N10Rik","1700056N10Rik",5,1,0,5,2,0
"Mir142hg","Mir142hg",15,12,12,15,13,9
"X5830444B04Rik","5830444B04Rik",0,1,0,0,0,0
"X9430091E24Rik","9430091E24Rik",23,51,28,49,27,33
"Gm5526","Gm5526",51,66,28,45,52,64
"Gm15880","Gm15880",7,6,8,61,34,22
"Gm14539","Gm14539",33,35,14,50,49,38
"B230312C02Rik","B230312C02Rik",23,15,16,8,13,2
"A930006K02Rik","A930006K02Rik",3,19,1,8,5,6
"Ccdc85c","Ccdc85c",7,61,25,21,10,32
"Gm12708","Gm12708",64,77,78,39,52,75
"Bbip1","Bbip1",303,352,333,293,462,402
"B430010I23Rik","B430010I23Rik",0,0,0,1,0,0
"Gm12743","Gm12743",18,13,15,15,13,21
"Gm16279","Gm16279",1,0,1,8,5,0
"BC021767","BC021767",117,137,142,165,130,149
"Slc2a4rg.ps","Slc2a4rg-ps",0,2,0,0,0,0
"Gm12031","Gm12031",32,26,15,55,64,91
"X4933421O10Rik","4933421O10Rik",26,31,45,34,28,28
"X8030453O22Rik","8030453O22Rik",338,355,309,272,304,301
"X1700086P04Rik","1700086P04Rik",30,36,32,38,48,47
"Gm12758","Gm12758",2,23,4,9,15,18
"Gm12589","Gm12589",24,18,22,8,27,15
"X5031425F14Rik","5031425F14Rik",119,144,171,56,122,83
"B930095G15Rik","B930095G15Rik",40,40,56,63,51,33
"Gm11520","Gm11520",4,19,5,8,3,22
"Eif2c5","Eif2c5",169,223,288,273,398,344
"Mir22hg","Mir22hg",192,177,221,201,249,376
"Gm11496","Gm11496",36,13,9,23,27,17
"Snhg15","Snhg15",165,171,158,171,168,211
"Gm11423","Gm11423",19,57,31,62,58,65
"X4933439K11Rik","4933439K11Rik",21,34,30,11,11,33
"Brip1os","Brip1os",448,612,520,809,633,518
"X6330418K02Rik","6330418K02Rik",13,14,5,7,17,8
"BC046401","BC046401",4,2,10,2,0,3
"X4930430E12Rik","4930430E12Rik",452,439,443,754,601,591
"Gm16104","Gm16104",21,24,32,18,18,30
"Gm15964","Gm15964",43,31,40,62,59,33
"Hk1os","Hk1os",44,20,47,33,32,40
"X2310058D17Rik","2310058D17Rik",9,17,8,10,5,3
"Snhg17","Snhg17",372,406,419,263,312,412
"Firre","Firre",113,129,137,148,159,142
"Foxd2os","Foxd2os",63,87,45,65,44,83
"X4930440I19Rik","4930440I19Rik",0,0,0,0,0,0
"Gm16001","Gm16001",26,27,28,33,11,30
"Zfp335os","Zfp335os",48,65,58,35,35,9
"X1700020I14Rik","1700020I14Rik",997,1039,1100,879,1205,1370
"Gm13963","Gm13963",42,44,32,53,34,17
"X1110046J04Rik","1110046J04Rik",82,63,66,118,132,129
"X4933423P22Rik","4933423P22Rik",0,5,2,0,0,0
"Trmt61b","Trmt61b",124,126,121,107,136,96
"Gm14023","Gm14023",13,7,2,7,11,16
"Gm14224","Gm14224",66,42,39,18,35,29
"Gm13166","Gm13166",8,17,16,15,17,18
"Gm16010","Gm16010",6,9,12,13,6,15
"Gm14252","Gm14252",0,0,5,1,3,1
"X2610028E06Rik","2610028E06Rik",4,0,5,4,8,5
"A730017L22Rik","A730017L22Rik",35,38,55,42,28,17
"Gm11613","Gm11613",38,87,77,113,151,172
"Gm13479","Gm13479",0,0,0,0,0,0
"X3110056K07Rik","3110056K07Rik",33,35,16,21,29,9
"Appbp2os","Appbp2os",18,12,13,32,38,37
"Gm12992","Gm12992",3,5,8,7,3,8
"Gm14267","Gm14267",276,326,282,223,275,194
"Gm16153","Gm16153",5,1,2,6,8,2
"Hoxaas3","Hoxaas3",4,46,26,35,36,18
"Gm12968","Gm12968",79,52,72,25,40,28
"X4921531C22Rik","4921531C22Rik",49,39,45,62,10,31
"Gm16046","Gm16046",17,30,26,7,13,5
"Mettl5os","Mettl5os",4,1,7,1,10,0
"X5430405H02Rik","5430405H02Rik",50,32,29,57,66,25
"Gm13496","Gm13496",93,42,68,80,27,45
"X4930455G09Rik","4930455G09Rik",140,143,151,128,150,162
"D630024D03Rik","D630024D03Rik",146,113,86,98,152,159
"Gm16233","Gm16233",0,0,5,0,0,0
"Gm9816","Gm9816",24,43,22,39,30,43
"Lin52","Lin52",166,151,267,221,150,197
"Zfp703","Zfp703",202,362,349,498,473,460
"Gm13012","Gm13012",14,7,6,6,11,14
"Gm4285","Gm4285",19,17,10,6,4,6
"Grin1os","Grin1os",0,0,0,0,0,1
"Gm13483","Gm13483",0,1,0,0,0,0
"Ttc39aos1","Ttc39aos1",115,119,130,48,85,78
"Gm12905","Gm12905",17,13,13,15,40,21
"X2610507I01Rik","2610507I01Rik",93,137,132,107,105,79
"Arhgap27os3","Arhgap27os3",21,24,43,61,42,23
"Tnfsf13os","Tnfsf13os",357,398,364,420,319,326
"Gm14634","Gm14634",1,1,0,0,2,0
"Trp53cor1","Trp53cor1",10,17,18,23,19,9
"Gm13421","Gm13421",10,17,11,6,11,11
"Cd63.ps","Cd63-ps",314,361,310,451,407,442
"Gm14275","Gm14275",1,0,0,0,0,0
"Gm15496","Gm15496",17,4,29,17,7,9
"X4930481B07Rik","4930481B07Rik",15,11,29,33,30,14
"Syna","Syna",41,56,45,19,31,19
"X1700001G11Rik","1700001G11Rik",28,19,34,25,32,34
"Gm2788","Gm2788",2,2,1,4,0,0
"Gm15706","Gm15706",19,17,22,19,22,6
"Gm12735","Gm12735",1,1,2,0,3,2
"Gm13075","Gm13075",0,1,0,0,0,0
"Gm15728","Gm15728",20,4,4,7,6,1
"Gm13391","Gm13391",585,707,688,423,418,408
"Gm15326","Gm15326",36,57,27,59,42,32
"A530076I17Rik","A530076I17Rik",11,26,31,21,21,38
"Gm11934","Gm11934",0,1,1,0,0,0
"Bach2os","Bach2os",13,11,9,7,8,10
"Ccpg1os","Ccpg1os",97,117,132,96,128,114
"Zfp652os","Zfp652os",15,23,22,17,20,11
"Gm13571","Gm13571",2,5,10,14,7,19
"X5830418P13Rik","5830418P13Rik",422,455,421,442,500,539
"Gm7846","Gm7846",12,16,18,12,16,21
"Snhg12","Snhg12",41,30,28,27,8,27
"Nbdy","Nbdy",339,392,291,385,477,350
"Gm15564","Gm15564",72,134,87,67,141,117
"X2700033N17Rik","2700033N17Rik",30,43,40,14,22,26
"Gm12107","Gm12107",7,8,10,34,6,13
"Gm13270","Gm13270",11,11,3,4,10,5
"Ftx","Ftx",23,8,4,3,3,2
"X4930529C04Rik","4930529C04Rik",0,0,0,0,0,0
"Gm15998","Gm15998",63,48,50,63,46,37
"X4930555B11Rik","4930555B11Rik",0,3,0,0,1,0
"Gt.ROSA.26Sor","Gt(ROSA)26Sor",42,73,74,50,63,88
"X9130204K15Rik","9130204K15Rik",12,7,10,7,8,11
"X2210417A02Rik","2210417A02Rik",33,17,1,22,15,23
"Xist","Xist",149,176,164,255,81,79
"Mypopos","Mypopos",20,31,23,27,18,20
"Chn1os3","Chn1os3",0,0,0,0,0,0
"Cd101","Cd101",0,1,1,0,0,0
"Gm15500","Gm15500",145,172,147,181,179,185
"Btbd18","Btbd18",2,0,1,0,5,0
"Gm13205","Gm13205",36,77,53,55,55,70
"X2810403D21Rik","2810403D21Rik",12,7,12,25,6,16
"Gm14040","Gm14040",150,107,122,182,205,182
"C330018A13Rik","C330018A13Rik",72,89,84,43,75,41
"Stamos","Stamos",19,37,29,9,26,20
"AI427809","AI427809",1821,2253,2156,2674,2686,2624
"A630052C17Rik","A630052C17Rik",7,31,12,10,12,15
"Gm11685","Gm11685",0,1,0,0,0,0
"Gm17029","Gm17029",2,0,5,3,0,0
"Gm16201","Gm16201",6,8,1,7,5,10
"Snhg7os","Snhg7os",7,2,6,7,3,2
"Isoc2a","Isoc2a",12,22,23,6,26,17
"Gm15943","Gm15943",29,21,15,49,69,45
"Platr21","Platr21",0,0,0,0,0,0
"Gm13657","Gm13657",197,252,243,241,351,254
"X2410006H16Rik","2410006H16Rik",490,470,493,484,559,635
"A430108G06Rik","A430108G06Rik",3,20,4,35,46,25
"Snhg20","Snhg20",196,178,177,225,162,203
"A230072C01Rik","A230072C01Rik",22,13,15,19,21,13
"Gm15708","Gm15708",8,9,1,5,6,0
"Gm13835","Gm13835",53,99,60,107,75,69
"X4930481A15Rik","4930481A15Rik",8,26,19,4,13,7
"Gm15859","Gm15859",3,5,10,18,5,2
"X4933431E20Rik","4933431E20Rik",110,106,129,107,107,115
"Gm13889","Gm13889",201,205,212,250,237,178
"Gm16283","Gm16283",10,2,2,14,25,1
"Eldr","Eldr",14,4,18,0,9,18
"AI662270","AI662270",226,245,279,255,263,269
"Gm12655","Gm12655",72,87,110,103,149,75
"Gm16152","Gm16152",0,0,0,0,0,5
"Plcxd2","Plcxd2",24,20,11,9,12,1
"A830082K12Rik","A830082K12Rik",110,206,200,237,236,284
"Gm6483","Gm6483",41,26,44,21,47,36
"X2010001A14Rik","2010001A14Rik",11,4,15,23,23,35
"X5530601H04Rik","5530601H04Rik",70,127,80,76,62,72
"E130307A14Rik","E130307A14Rik",21,11,36,14,14,18
"A230056P14Rik","A230056P14Rik",22,26,29,25,24,27
"Lrp8os3","Lrp8os3",11,7,7,26,7,16
"Gm15261","Gm15261",0,1,0,0,0,0
"X1700073E17Rik","1700073E17Rik",0,0,0,0,0,0
"Gm13147","Gm13147",1,1,1,0,0,0
"X2810408I11Rik","2810408I11Rik",7,9,11,6,10,7
"BC037032","BC037032",21,8,21,21,6,12
"E030042O20Rik","E030042O20Rik",39,33,44,22,37,50
"E230016M11Rik","E230016M11Rik",4,12,7,5,2,6
"Kif28","Kif28",0,0,0,0,0,0
"Gm16062","Gm16062",11,17,8,21,11,24
"X2610035D17Rik","2610035D17Rik",158,144,149,54,94,70
"Lamtor5","Lamtor5",3339,3738,3105,4286,4085,4420
"Gm15991","Gm15991",5,3,11,1,5,5
"D330023K18Rik","D330023K18Rik",185,167,112,134,135,142
"Gm13203","Gm13203",8,10,8,9,4,7
"X1810021B22Rik","1810021B22Rik",33,46,39,21,41,37
"C430049B03Rik","C430049B03Rik",18,35,41,52,66,58
"Junos","Junos",26,52,60,50,52,48
"Tmem170b","Tmem170b",182,232,169,228,275,289
"X2210408F21Rik","2210408F21Rik",93,95,103,74,107,104
"Gm7598","Gm7598",10,27,38,26,32,32
"Gm12705","Gm12705",4,2,0,0,1,8
"X4933407K13Rik","4933407K13Rik",10,2,5,9,12,7
"Kantr","Kantr",18,31,44,75,48,51
"Gm15501","Gm15501",70,77,58,76,49,104
"X5730405O15Rik","5730405O15Rik",11,10,7,17,9,11
"Gm14167","Gm14167",10,15,13,11,28,54
"Rab11fip4os1","Rab11fip4os1",21,51,11,25,20,44
"Gm5475","Gm5475",4,0,5,0,0,11
"Gm13822","Gm13822",19,50,21,44,42,27
"X2900089D17Rik","2900089D17Rik",18,21,16,10,23,14
"X2810001G20Rik","2810001G20Rik",32,16,17,10,13,36
"X9830144P21Rik","9830144P21Rik",7,1,14,10,5,1
"Gm16576","Gm16576",16,50,23,24,22,26
"Platr27","Platr27",90,75,45,70,75,113
"C030037D09Rik","C030037D09Rik",13,11,4,26,20,6
"Gm12976","Gm12976",34,8,23,15,15,14
"Hectd2os","Hectd2os",261,284,280,213,264,241
"Epb41l4aos","Epb41l4aos",39,60,39,27,54,41
"Gm16174","Gm16174",12,33,18,28,19,37
"Zfp111","Zfp111",176,180,185,195,146,107
"Gm15050","Gm15050",15,8,16,19,12,5
"Tmem250.ps","Tmem250-ps",876,1038,882,1047,1074,945
"Pet100","Pet100",493,600,463,649,660,834
"Gm13493","Gm13493",40,106,64,63,81,57
"Gm24187","Gm24187",448,671,539,707,775,893
"Gm22431","Gm22431",0,1,0,0,0,2
"Mir1931","Mir1931",3,2,6,2,1,4
"Gm2245","Gm2245",0,0,0,0,0,0
"Fcor","Fcor",123,111,90,363,255,356
"Tnfsf13","Tnfsf13",196,212,201,193,181,190
"Bcl2l2","Bcl2l2",45,70,89,71,44,122
"Gm15946","Gm15946",0,0,0,0,0,2
"B230216N24Rik","B230216N24Rik",6,10,1,8,17,1
"Cbx6","Cbx6",1099,1200,1232,1321,1217,961
"Gm16146","Gm16146",17,29,12,20,25,35
"Ier5l","Ier5l",93,87,59,65,46,111
"Gm16580","Gm16580",3,18,18,15,4,19
"Slc5a3","Slc5a3",45,76,48,75,98,61
"Gm3531","Gm3531",36,37,43,66,28,59
"X1700028K03Rik","1700028K03Rik",0,0,0,0,0,0
"Rasgef1b","Rasgef1b",2421,2564,2890,2863,2491,2410
"Gm16536","Gm16536",13,26,11,15,14,33
"Rbm12","Rbm12",349,508,363,671,422,481
"Shkbp1","Shkbp1",1019,1259,1155,1174,1288,1193
"A530032D15Rik","A530032D15Rik",1,7,6,21,26,26
"Timm10b","Timm10b",69,109,88,110,83,105
"Umad1","Umad1",201,230,200,173,295,305
"Rps6kc1","Rps6kc1",1007,1137,1072,944,939,747
"Etohd2","Etohd2",6,15,19,27,15,6
"X0610040B10Rik","0610040B10Rik",21,47,38,72,42,66
"Mfsd14a","Mfsd14a",861,1057,899,920,1129,952
"Uckl1","Uckl1",1444,1864,1528,1473,1537,1811
"Bcl2a1b","Bcl2a1b",2,0,1,2,1,1
"Gm4117","Gm4117",26,21,40,39,25,39
"Pira2","Pira2",566,528,569,725,614,678
"Gm16137","Gm16137",0,0,0,0,0,0
"X2010320O07Rik","2010320O07Rik",66,41,55,47,35,35
"Ier3ip1","Ier3ip1",179,261,222,219,228,319
"Galnt4","Galnt4",82,108,102,135,130,98
"Nwd2","Nwd2",8,1,0,0,0,0
"Rnf8","Rnf8",139,175,135,147,106,156
"Gm14399","Gm14399",69,54,62,73,80,81
"Ttbk2","Ttbk2",36,143,83,95,127,142
"Cmc4","Cmc4",28,24,38,39,30,40
"Shprh","Shprh",647,805,865,1052,842,711
"Usp49","Usp49",11,7,9,6,4,14
"Ugt1a7c","Ugt1a7c",2320,2608,2459,2845,2910,2301
"Pou3f1","Pou3f1",62,91,56,53,52,77
"Gm10177","Gm10177",18,17,8,21,13,11
"Uba52","Uba52",57,93,53,84,106,89
"Ugt1a6b","Ugt1a6b",39,54,50,79,77,66
"Acad11","Acad11",561,663,627,773,682,665
"Fbxw10","Fbxw10",17,46,30,39,27,20
"Cd200r2","Cd200r2",91,117,104,94,55,88
"Gm16556","Gm16556",19,4,4,13,15,9
"Gm16029","Gm16029",0,0,0,0,0,0
"Tmem189","Tmem189",16197,19769,19254,19118,18108,21922
"Gm16315","Gm16315",16,33,18,30,17,9
"Cfb","Cfb",0,0,0,1,0,2
"Gm16103","Gm16103",15,4,14,8,6,3
"Churc1","Churc1",560,615,569,627,557,673
"Mettl23","Mettl23",408,487,461,462,477,392
"Mndal","Mndal",5,6,2,28,30,23
"Tarbp1","Tarbp1",471,470,426,510,219,414
"Lrrc10b","Lrrc10b",49,46,59,67,61,92
"X4930523C07Rik","4930523C07Rik",0,0,0,0,6,4
"Gm38399","Gm38399",91,85,110,79,107,78
"Rps11.ps1","Rps11-ps1",3,4,13,22,8,24
"Gypc","Gypc",983,1345,1082,899,889,919
"Snrpe","Snrpe",1106,1444,1087,1186,1297,1484
"A430057M04Rik","A430057M04Rik",14,1,15,20,14,24
"Gm3571","Gm3571",23,35,18,32,29,33
"Tex9","Tex9",19,11,29,14,23,22
"Zfp712","Zfp712",50,15,54,32,94,24
"Zfp493","Zfp493",39,80,65,65,51,73
"Gm340","Gm340",217,238,183,298,188,223
"Olfr111","Olfr111",59,75,68,69,59,43
"Apold1","Apold1",304,288,348,228,169,244
"Rps27","Rps27",6374,6984,6061,6412,7687,8263
"Gm17201","Gm17201",5,6,3,5,17,1
"Klhl33","Klhl33",304,350,323,246,140,225
"Myl6","Myl6",6278,6561,6036,6882,6613,6991
"Rps13","Rps13",4558,5149,4379,5018,4977,4991
"Hspa1b","Hspa1b",32,28,29,56,33,26
"Olfr110","Olfr110",37,52,33,28,37,28
"Synj2bp","Synj2bp",325,379,315,378,402,427
"Ccdc71l","Ccdc71l",955,1228,1244,1010,706,1792
"Gm17251","Gm17251",17,10,14,18,13,11
"Gm10722","Gm10722",0,0,1,0,0,0
"X9330020H09Rik","9330020H09Rik",15,9,12,17,17,23
"Siglec15","Siglec15",93,105,98,146,117,81
"Rpl6l","Rpl6l",32,18,12,32,15,24
"Phf11c","Phf11c",4,4,8,10,12,3
"Gm5141","Gm5141",23,24,29,45,52,23
"Gm6970","Gm6970",0,0,0,1,1,0
"Vmn2r76","Vmn2r76",0,0,4,0,4,0
"Smim13","Smim13",494,480,561,518,528,479
"Gm6682","Gm6682",18,19,12,16,14,24
"X1700112D23Rik","1700112D23Rik",18,25,23,20,25,10
"Eid1","Eid1",576,888,740,1220,883,1198
"Col6a5","Col6a5",0,1,0,0,0,0
"Hist2h4","Hist2h4",21,19,41,26,33,20
"Gm4202","Gm4202",98,123,80,113,116,105
"Gm10269","Gm10269",39,59,38,40,76,50
"X2610021A01Rik","2610021A01Rik",138,203,227,214,216,256
"Gm10039","Gm10039",204,202,187,242,197,226
"Mpc1.ps","Mpc1-ps",650,901,638,775,937,858
"Lamtor3","Lamtor3",2988,3587,3244,3876,3555,4438
"Gm9268","Gm9268",0,0,0,0,0,0
"Tma7","Tma7",1132,1547,1381,1647,1877,1832
"Gm6548","Gm6548",100,112,102,96,67,69
"Gm6665","Gm6665",47,46,49,66,60,60
"X2010016I18Rik","2010016I18Rik",15,14,4,34,9,2
"Gm6211","Gm6211",5,0,2,0,0,0
"Cyp4f17","Cyp4f17",0,0,0,0,0,0
"Gm17657","Gm17657",16,23,10,56,41,68
"Lsm5","Lsm5",76,184,166,194,156,230
"Phf11b","Phf11b",89,158,119,317,241,247
"Zfp964","Zfp964",34,69,36,27,25,6
"Cox16","Cox16",79,68,53,58,40,77
"Inafm1","Inafm1",394,492,451,443,391,359
"Gm4707","Gm4707",0,1,0,0,0,0
"Ube2d2a","Ube2d2a",562,764,772,763,693,720
"Gm4353","Gm4353",1,4,0,5,7,1
"Gm6395","Gm6395",13,20,16,13,12,26
"Gon7","Gon7",111,157,127,145,135,91
"Gm17709","Gm17709",2,1,0,10,3,0
"Rps2.ps10","Rps2-ps10",38,43,26,49,26,45
"Hspa1a","Hspa1a",118,164,142,130,145,90
"Gm17354","Gm17354",17,20,12,14,20,9
"B930036N10Rik","B930036N10Rik",0,4,4,9,5,0
"E130317F20Rik","E130317F20Rik",7,11,7,28,30,8
"BC049352","BC049352",10,7,3,17,13,15
"Peg10","Peg10",79,95,79,23,16,17
"Bend4","Bend4",322,381,313,406,379,323
"Dynlt1a","Dynlt1a",197,264,154,261,198,249
"Vmn2r113","Vmn2r113",0,1,0,0,0,8
"Fancf","Fancf",41,36,52,35,33,65
"X4833427F10Rik","4833427F10Rik",26,35,9,1,18,8
"Stk19.ps1","Stk19-ps1",46,58,38,52,55,82
"X1110038B12Rik","1110038B12Rik",198,200,190,201,231,269
"Zfp963","Zfp963",18,10,30,21,16,29
"Neat1","Neat1",856,708,876,2194,2058,1860
"Gm19684","Gm19684",2,8,1,6,9,15
"Hmgb1.ps7","Hmgb1-ps7",3,7,0,6,8,0
"Zfp419","Zfp419",21,4,21,10,1,3
"Malat1","Malat1",1482,1481,1910,6995,2611,2978
"C130080G10Rik","C130080G10Rik",0,0,0,0,0,0
"Zfp141","Zfp141",124,143,96,186,155,144
"Gpank1","Gpank1",343,419,366,435,372,343
"Med20","Med20",694,887,767,685,706,832
"Gm20442","Gm20442",9,10,19,13,19,5
"Scnm1","Scnm1",1219,1444,1306,1574,1612,1619
"Gm3654","Gm3654",21,41,23,28,29,27
"Mir3473a","Mir3473a",8,4,4,3,4,2
