"","Geneid","control.cells_1","control.cells_2","control.cells_3","LPS.cells_1","LPS.cells_2","LPS.cells_3"
"Gm7964","Gm7964",511,722,569,1066,665,743
"Dpp3","Dpp3",7474,9982,8294,14624,11315,13096
"Pepd","Pepd",3994,5182,4484,4524,3307,3595
"Brpf3","Brpf3",96,95,101,102,78,71
"Amd2","Amd2",4,7,7,16,12,7
"Nr6a1","Nr6a1",70,104,137,162,118,159
"Pym1","Pym1",160,251,188,325,216,295
"Gpn1","Gpn1",995,1061,1023,2159,1611,1747
"Trerf1","Trerf1",1156,1184,1106,1181,760,972
"Dzip3","Dzip3",177,287,255,313,165,282
"Ipcef1","Ipcef1",124,127,51,37,45,21
"Mtx1","Mtx1",1447,2052,1640,2266,1710,1936
"Vrk2","Vrk2",187,327,227,670,391,443
"Cnnm2","Cnnm2",333,524,390,461,341,310
"Hcst","Hcst",166,191,143,279,248,207
"Mocs1","Mocs1",1335,1209,1402,2983,2186,2185
"Med14","Med14",472,467,652,1383,675,745
"Cenpj","Cenpj",125,123,141,359,212,195
"Fam172a","Fam172a",1026,1299,1215,2201,1208,1373
"Zfp69","Zfp69",36,60,41,94,67,57
"Arih2","Arih2",1768,1972,1825,2048,1551,1636
"Rab44","Rab44",138,191,190,129,105,145
"Tnnt1","Tnnt1",7,9,13,54,42,20
"Rab3ip","Rab3ip",366,427,454,660,389,455
"Gm4735","Gm4735",147,208,114,301,199,276
"Gm10145","Gm10145",14,17,20,30,14,28
"Ano6","Ano6",6407,6823,6949,10054,6508,6734
"Ifi27","Ifi27",6230,7166,6344,15682,10442,12905
"Ethe1","Ethe1",458,659,464,751,445,514
"Vmn1r13","Vmn1r13",0,0,0,5,0,0
"Gimap8","Gimap8",0,0,0,0,0,0
"Zfp428","Zfp428",21,22,27,54,53,70
"Hvcn1","Hvcn1",776,1063,991,2246,1493,1821
"Cdpf1","Cdpf1",396,501,365,525,337,439
"Tank","Tank",1054,1054,1133,2545,1440,1829
"Clasp1","Clasp1",2076,2577,2546,3686,2260,2385
"Lrrc51","Lrrc51",66,64,76,72,28,72
"Gm10146","Gm10146",36,54,34,121,52,73
"Siva1","Siva1",1047,1237,942,2626,1987,2228
"Scn1a","Scn1a",0,1,0,2,0,0
"Pde6h","Pde6h",0,1,0,0,0,0
"mt.Rnr1","mt-Rnr1",4136,4665,4425,5955,3640,5149
"mt.Rnr2","mt-Rnr2",45274,50400,43371,55879,35816,52672
"mt.Nd1","mt-Nd1",13674,15704,13115,26030,14540,19781
"mt.Nd2","mt-Nd2",1945,2255,1962,3477,1768,2670
"mt.Co1","mt-Co1",42529,41297,36408,53718,33089,38223
"mt.Co2","mt-Co2",162,164,112,153,74,139
"mt.Atp6","mt-Atp6",107,180,68,44,42,98
"mt.Co3","mt-Co3",501,598,404,271,217,334
"mt.Nd4","mt-Nd4",2968,2363,1881,3205,2315,2128
"mt.Nd5","mt-Nd5",5720,4633,4180,6027,3771,3838
"mt.Nd6","mt-Nd6",428,443,387,466,362,360
"mt.Cytb","mt-Cytb",17832,13517,12592,11176,7117,7295
"mt.Tp","mt-Tp",9,24,17,54,26,36
"Selenop","Selenop",329,431,391,364,190,218
"Rn7sk","Rn7sk",103,97,95,50,47,43
"Snord104","Snord104",18,12,19,36,25,22
"Vaultrc5","Vaultrc5",2,0,1,6,0,4
"Gm23849","Gm23849",99,80,129,83,111,130
"Tacc1","Tacc1",2540,2594,2465,2650,1641,1742
"Cpped1","Cpped1",871,1180,970,1992,1226,1246
"Aurkaip1","Aurkaip1",3883,4586,3720,4959,3671,4355
"Dhrs3","Dhrs3",1127,1167,1287,907,681,897
"Ubr4","Ubr4",6004,5815,6360,8243,6249,7234
"Hnrnpr","Hnrnpr",1926,2181,2015,3333,1990,2148
"Med18","Med18",277,428,353,619,427,449
"Phactr4","Phactr4",219,288,301,332,188,180
"Gm1976","Gm1976",34,40,40,52,46,41
"Gm13611","Gm13611",9,14,6,8,5,12
"Adamtsl1","Adamtsl1",0,0,2,1,0,7
"Kndc1","Kndc1",0,1,0,3,0,0
"Prpf4","Prpf4",913,890,813,1991,1394,1306
"Cdc26","Cdc26",422,568,498,958,641,792
"Slc31a1","Slc31a1",4076,4837,4766,14853,9360,10003
"Fkbp15","Fkbp15",4275,5113,5049,5292,3706,3986
"Slc31a2","Slc31a2",1592,1762,1856,11501,7273,7770
"X2510046G10Rik","2510046G10Rik",9,8,15,15,1,7
"Anks6","Anks6",310,291,269,380,187,184
"Ipo7","Ipo7",1768,2276,2121,3728,1616,2118
"Tmem42","Tmem42",32,45,32,27,43,25
"Pomgnt2","Pomgnt2",417,560,508,798,475,619
"Trim12a","Trim12a",85,69,56,379,233,220
"Vps37b","Vps37b",261,322,277,287,229,332
"Numa1","Numa1",3969,5202,4152,5565,3800,4087
"Gm12918","Gm12918",165,264,217,254,163,148
"Impad1","Impad1",460,697,539,854,444,707
"Wdr6","Wdr6",2507,3315,3013,3673,2925,3219
"Rps13.ps1","Rps13-ps1",10,11,9,9,14,9
"Serpina3f","Serpina3f",0,0,0,0,0,0
"Nrxn3","Nrxn3",0,4,1,1,0,1
"Akap13","Akap13",4222,4072,4890,5480,3824,4031
"Gm10263","Gm10263",4,7,18,13,3,15
"Msl2","Msl2",466,403,502,676,330,385
"Zfyve26","Zfyve26",2365,2801,2860,3711,2497,2494
"Rdh11","Rdh11",852,1018,988,2281,1435,1623
"Mthfs","Mthfs",201,175,184,414,209,289
"Vmn2r57","Vmn2r57",0,1,0,0,0,0
"Hmgb1","Hmgb1",3420,4742,3666,8988,5410,6565
"Lsm14a","Lsm14a",1183,1678,1535,2397,1301,1577
"X4931406P16Rik","4931406P16Rik",1076,1276,1192,996,519,574
"Flvcr1","Flvcr1",1532,1683,1682,2999,1651,1943
"Zfp932","Zfp932",50,51,107,79,57,89
"Tecpr1","Tecpr1",25186,28434,28746,26167,17413,20456
"Pgk1.rs7","Pgk1-rs7",18,22,24,16,11,22
"Ttc32","Ttc32",431,474,407,687,423,584
"Fbxl18","Fbxl18",992,924,1108,1495,878,1067
"Wdr35","Wdr35",1145,1168,1233,1399,770,871
"Gm5113","Gm5113",52,45,90,159,70,97
"Pilrb2","Pilrb2",185,170,168,4642,3817,4100
"Pilrb1","Pilrb1",178,247,197,5689,4894,5112
"Zbtb16","Zbtb16",120,164,108,32,27,23
"Gm10175","Gm10175",39,58,41,68,20,48
"Vkorc1l1","Vkorc1l1",702,726,668,1087,636,633
"Tnfsf18","Tnfsf18",37,19,23,3,0,1
"Zbtb6","Zbtb6",127,136,143,252,91,125
"Rnasel","Rnasel",1169,1517,1360,3305,1703,2143
"Gm10180","Gm10180",29,24,27,29,17,31
"Zfp810","Zfp810",103,112,139,147,53,101
"Zfp772","Zfp772",116,187,124,152,101,85
"Ecsit","Ecsit",689,785,816,1318,962,1060
"Hmcn1","Hmcn1",0,2,0,0,0,1
"Oas1g","Oas1g",746,981,839,2998,2800,2965
"Nck2","Nck2",744,849,715,1211,698,785
"Zfp617","Zfp617",250,298,330,432,245,288
"Fbxl12","Fbxl12",158,290,249,186,152,187
"Vsig10","Vsig10",232,283,437,400,204,197
"Suds3","Suds3",1324,1560,1371,1899,1372,1401
"Bub3","Bub3",3110,4268,3366,6392,4570,5633
"Gm3608","Gm3608",111,126,106,171,97,120
"Rps12.ps3","Rps12-ps3",18,20,13,27,23,32
"Hes6","Hes6",881,1150,1180,1037,882,840
"Polr1c","Polr1c",1157,1464,1242,1744,1436,1578
"Xpo5","Xpo5",2672,3387,3106,5857,4251,4452
"Col4a4","Col4a4",0,1,1,5,0,1
"Gm5560","Gm5560",26,17,35,70,30,30
"Eif1ax","Eif1ax",886,1248,976,2831,1754,2017
"Frat1","Frat1",13,13,11,12,12,14
"H2.K2","H2-K2",124,183,118,589,389,467
"H2.T23","H2-T23",12586,14614,12995,13405,10102,11602
"Lgi1","Lgi1",0,1,0,0,0,7
"Rplp0","Rplp0",31979,38788,34212,51452,38009,45147
"Rps28","Rps28",5326,5340,5155,6026,4639,5118
"Bmpr2","Bmpr2",167,196,227,215,106,119
"Rps25.ps1","Rps25-ps1",47,54,30,59,35,43
"Tmem128","Tmem128",434,583,442,923,603,679
"Lyar","Lyar",215,365,300,904,524,752
"Trmt2b","Trmt2b",1287,1301,1278,1972,1231,1488
"B3galt4","B3galt4",348,374,390,366,292,336
"Zfp563","Zfp563",80,87,88,151,63,94
"Zfp763","Zfp763",84,52,63,148,108,93
"Hdac8","Hdac8",238,255,200,427,297,320
"A430093F15Rik","A430093F15Rik",137,125,128,336,257,296
"Pcna.ps2","Pcna-ps2",34,45,48,86,54,47
"Syngap1","Syngap1",7,29,17,15,23,25
"Prkag1","Prkag1",228,388,288,564,421,488
"Lpar5","Lpar5",285,427,297,485,296,289
"Gm10221","Gm10221",49,52,56,122,58,66
"BC003965","BC003965",649,847,704,1241,870,956
"Blcap","Blcap",2484,2762,2940,3182,2157,2504
"Pex26","Pex26",455,556,497,574,429,448
"Romo1","Romo1",3232,3576,3191,5828,4164,4732
"Arfgef1","Arfgef1",1170,1618,1463,2162,879,929
"Rpl31.ps8","Rpl31-ps8",96,130,83,126,82,125
"Htatsf1","Htatsf1",648,866,842,1368,761,852
"Sptbn2","Sptbn2",122,146,182,545,381,497
"Zfp991","Zfp991",95,162,152,153,118,173
"Zfp948","Zfp948",137,254,192,230,92,154
"Zfp160","Zfp160",55,76,76,184,61,163
"Gtf2f2","Gtf2f2",758,952,751,1706,1247,1328
"Lrch1","Lrch1",720,731,783,1478,969,1011
"Afdn","Afdn",1811,2213,2074,1805,1171,1168
"Tcp1","Tcp1",4751,5607,4869,12461,8704,9495
"Tm9sf4","Tm9sf4",5959,6612,7041,14304,10632,12425
"Cenpm","Cenpm",155,219,183,508,439,444
"Ccdc134","Ccdc134",145,103,115,264,205,188
"Ninl","Ninl",491,565,706,960,459,443
"Cst7","Cst7",942,1199,862,4507,2750,3297
"Zfp442","Zfp442",34,59,47,54,16,46
"Zfp120","Zfp120",285,261,307,323,191,282
"Gm10232","Gm10232",18,20,9,18,19,24
"Ndufaf2","Ndufaf2",98,163,124,320,215,228
"Macrod2","Macrod2",33,24,30,76,46,61
"Pick1","Pick1",156,176,165,186,121,154
"Lgals1","Lgals1",26094,29370,27042,19948,15977,18569
"Gm11808","Gm11808",64,70,43,80,62,74
"Phf11d","Phf11d",693,819,570,5104,3782,3870
"Apol9b","Apol9b",11,40,27,1469,1525,1455
"Amn1","Amn1",219,201,181,348,136,182
"Gm5879","Gm5879",15,22,19,23,10,12
"Ap5s1","Ap5s1",802,877,744,1602,1266,1371
"Cenpb","Cenpb",1218,1556,1289,1889,1346,1360
"Usf3","Usf3",185,137,152,270,106,100
"Ddrgk1","Ddrgk1",1114,1355,1283,1790,1116,1552
"Aup1","Aup1",4562,5358,5015,5650,3962,4715
"Htra2","Htra2",1552,2208,1846,3385,2328,2930
"Dok1","Dok1",1089,1555,1455,1669,1116,1596
"Chrac1","Chrac1",642,727,614,1481,883,964
"Cep152","Cep152",303,365,349,555,251,346
"Rpl34.ps1","Rpl34-ps1",20,18,10,32,20,27
"Duox2","Duox2",1,0,9,11,0,10
"B630019A10Rik","B630019A10Rik",0,1,0,0,0,0
"Gm5518","Gm5518",10,14,13,49,20,21
"Mfap1a","Mfap1a",202,203,235,539,315,312
"Gng5","Gng5",3999,4730,4050,6677,4718,5679
"Doxl2","Doxl2",182,219,171,193,172,151
"Zfp467","Zfp467",520,597,574,387,225,372
"Myadm","Myadm",7555,8695,8302,9007,6111,6898
"Zfyve19","Zfyve19",1469,1521,1399,1910,1515,1552
"Mgam","Mgam",0,5,9,4,10,4
"Clec16a","Clec16a",273,253,257,347,249,276
"Myoz1","Myoz1",150,199,173,305,280,218
"Flnc","Flnc",15893,17590,17003,8087,5619,6769
"Gm10250","Gm10250",16,32,13,40,24,19
"Tmem167b","Tmem167b",1905,2380,2326,4231,2939,2927
"Sars","Sars",29942,33926,33874,35660,27147,31779
"Celsr2","Celsr2",0,0,0,2,0,0
"Cry2","Cry2",617,793,701,787,521,581
"Psrc1","Psrc1",887,1117,843,2058,1276,1617
"Sort1","Sort1",49,34,36,160,139,126
"Psma5","Psma5",5556,6892,5556,15947,11584,12270
"Il3ra","Il3ra",183,324,193,271,201,255
"Gstm6","Gstm6",15,20,15,49,25,67
"Rap1a","Rap1a",3151,3883,3458,4690,2890,3727
"Csde1","Csde1",12475,15448,14008,29216,15132,18468
"Hist2h2be","Hist2h2be",1024,1083,959,1364,892,918
"Hist2h2ac","Hist2h2ac",14,26,10,13,8,37
"Sf3b4","Sf3b4",4290,4965,5285,7108,5730,6526
"Selenbp1","Selenbp1",5401,9253,7022,1391,842,1100
"Cgn","Cgn",0,1,0,0,0,0
"Selenbp2","Selenbp2",215,387,319,135,80,87
"Ssb","Ssb",1557,2115,1784,3375,1946,2621
"Clk2","Clk2",1884,2240,1845,2210,1370,1497
"Dap3","Dap3",3085,4064,3614,5367,3903,4269
"Msto1","Msto1",2022,2350,1968,3273,2657,2889
"Syt11","Syt11",606,646,636,993,740,743
"X4930589L23Rik","4930589L23Rik",94,135,140,327,185,253
"Zfp619","Zfp619",7,36,19,41,14,22
"Zbtb34","Zbtb34",439,417,518,454,175,211
"Urm1","Urm1",420,471,434,1091,774,947
"Slc7a14","Slc7a14",62,71,81,54,86,62
"Cdk7","Cdk7",1712,2132,1727,3940,2318,2768
"Pde7a","Pde7a",31,55,36,24,18,11
"Zbtb10","Zbtb10",41,50,71,43,25,24
"Fgfr1op","Fgfr1op",226,354,234,1449,797,1033
"Adgrv1","Adgrv1",1,4,0,1,0,0
"Nr2f1","Nr2f1",54,116,62,34,7,13
"Zfp72","Zfp72",87,67,104,96,37,64
"Zfp874a","Zfp874a",171,240,192,367,150,267
"Zfp825","Zfp825",98,120,85,213,67,167
"Fam8a1","Fam8a1",209,359,275,488,200,208
"Dusp22","Dusp22",831,950,725,1157,855,844
"Hist1h2ac","Hist1h2ac",17,12,47,70,20,34
"Hist1h2ae","Hist1h2ae",233,295,244,234,230,235
"Epc2","Epc2",35,62,50,60,50,43
"Lyz1","Lyz1",118,106,124,187,178,203
"Lyz2","Lyz2",210351,234225,207280,417956,274790,293089
"Tmem19","Tmem19",880,1054,1000,1094,819,792
"Scyl2","Scyl2",455,699,510,701,538,465
"Dazap1","Dazap1",837,1201,961,1737,1231,1394
"Tspear","Tspear",139,140,154,114,121,121
"Ank3","Ank3",3,10,3,0,1,1
"Strada","Strada",493,644,571,829,568,712
"Pex11g","Pex11g",54,55,44,85,42,62
"Marcks","Marcks",482,544,529,1938,632,732
"Pcgf1","Pcgf1",287,459,336,799,564,648
"Gm10275","Gm10275",95,96,63,121,115,103
"Zfp975","Zfp975",53,40,48,47,20,68
"Arid1b","Arid1b",1803,2078,1976,2274,1387,1482
"Psmb3","Psmb3",4065,5531,4258,10377,8128,9173
"Msi2","Msi2",41,86,46,148,80,83
"Wfdc17","Wfdc17",1149,1188,1074,10162,7296,8745
"Slfn9","Slfn9",333,461,380,1173,853,1065
"Fam57a","Fam57a",106,96,103,306,238,246
"Nlrp1a","Nlrp1a",94,129,89,97,116,61
"Ahnak","Ahnak",16711,16938,18251,11554,7026,7481
"Sat2","Sat2",119,106,88,111,67,112
"Sco1","Sco1",338,274,349,705,417,442
"X4930438A08Rik","4930438A08Rik",55,45,76,1834,1390,1387
"Irgm2","Irgm2",200,151,196,565,461,450
"X9930111J21Rik2","9930111J21Rik2",573,710,540,480,263,417
"X9930111J21Rik1","9930111J21Rik1",394,454,405,324,252,282
"Atxn1l","Atxn1l",338,405,337,334,189,220
"Gm12166","Gm12166",206,277,219,219,166,166
"Spdl1","Spdl1",646,639,663,1068,676,761
"B3gnt9","B3gnt9",130,156,166,148,103,167
"X4932416K20Rik","4932416K20Rik",0,0,0,0,0,0
"Rps13.ps2","Rps13-ps2",92,88,76,170,144,110
"Fcho1","Fcho1",40,33,25,16,22,30
"Ell","Ell",1568,1990,1828,1822,1239,1469
"Ssbp4","Ssbp4",2522,3095,2708,3545,2840,3083
"Sp140","Sp140",761,906,759,1680,1099,1200
"Sp110","Sp110",372,503,427,1287,1007,1195
"Fat1","Fat1",59,54,55,24,28,35
"Mfhas1","Mfhas1",1940,2150,2049,3024,1804,1773
"X3000002C10Rik","3000002C10Rik",82,56,48,137,79,107
"Ndufaf3","Ndufaf3",1010,1205,1078,1664,1333,1350
"Gmppb","Gmppb",593,842,539,1586,1019,1207
"X4930581F22Rik","4930581F22Rik",9,5,10,28,10,22
"Eif3g","Eif3g",3979,5321,4447,6857,5471,6030
"Rnf213","Rnf213",1202,1523,1480,4979,4036,3965
"Fbxo47","Fbxo47",11,17,4,11,14,9
"Gpr179","Gpr179",0,2,0,1,0,0
"Gm10288","Gm10288",49,48,61,83,42,53
"Hsf5","Hsf5",0,0,0,0,0,0
"Ccnd1","Ccnd1",729,1020,715,3279,2219,2618
"Prss36","Prss36",55,87,72,90,46,54
"Capza1","Capza1",7095,9442,8266,16797,8453,10111
"Nlrp1b","Nlrp1b",18,54,19,58,29,16
"Tmem256","Tmem256",1896,2135,1884,3192,2228,2843
"Rnf121","Rnf121",306,429,415,651,452,526
"Il18bp","Il18bp",6,11,9,27,48,23
"Gm10291","Gm10291",8,4,6,0,8,14
"BX649560.1","BX649560.1",69,114,135,121,72,89
"Tlnrd1","Tlnrd1",2901,3111,3223,2232,1602,1740
"Gm10293","Gm10293",9,12,4,7,14,4
"Chchd2","Chchd2",5876,7322,5817,10960,7385,9224
"Ctcfl","Ctcfl",0,0,0,0,0,0
"Nsmce3","Nsmce3",386,472,397,610,376,396
"Fcrlb","Fcrlb",48,63,49,47,46,39
"Top1","Top1",1450,1672,1500,2284,1042,1355
"Rasal2","Rasal2",405,428,442,390,132,139
"Trmt112.ps2","Trmt112-ps2",13,21,18,17,8,11
"Mn1","Mn1",59,65,62,11,7,6
"Fv1","Fv1",21,14,37,79,21,51
"Vsig10l","Vsig10l",50,50,65,59,45,57
"Zfp992","Zfp992",100,113,79,154,48,114
"Gm13127","Gm13127",118,139,137,248,129,178
"Lrrc8b","Lrrc8b",285,239,255,780,414,385
"Etnk2","Etnk2",0,0,1,0,0,0
"Rnf186","Rnf186",96,92,121,276,208,208
"Htr1d","Htr1d",0,0,0,0,0,0
"Runx3","Runx3",1436,1805,1574,1447,1010,1119
"Cntnap5a","Cntnap5a",1,7,5,0,4,9
"Utp3","Utp3",993,1316,1121,1831,1199,1320
"Sars2","Sars2",528,689,672,752,479,647
"Eid2b","Eid2b",207,260,188,466,247,290
"Zfp974","Zfp974",73,44,69,93,51,44
"Gm10282","Gm10282",146,151,110,302,276,241
"Rmdn3","Rmdn3",1189,1448,1485,2596,1688,2035
"Rbm44","Rbm44",0,0,0,7,7,3
"Fryl","Fryl",1013,974,989,1400,939,1148
"Tmem35b","Tmem35b",2817,2958,2877,2592,1647,1839
"Dgkd","Dgkd",12887,13754,14140,7614,5087,5848
"Rbm47","Rbm47",1190,1374,1170,1509,989,949
"Bicra","Bicra",149,151,109,117,111,108
"Zswim9","Zswim9",41,65,53,79,79,99
"Zscan18","Zscan18",78,120,104,99,81,79
"Gm1673","Gm1673",110,144,104,58,58,38
"Ccnyl1","Ccnyl1",26,19,31,113,22,39
"Lilra5","Lilra5",21,18,13,126,89,50
"Ccdc173","Ccdc173",4,20,11,4,16,13
"Zfp352","Zfp352",0,0,2,6,0,4
"Klhl9","Klhl9",1077,1182,1135,849,400,604
"Rraga","Rraga",1142,1505,1339,1914,1228,1345
"Tgfbrap1","Tgfbrap1",992,1117,1007,1080,769,874
"Il1rl2","Il1rl2",7,30,2,269,137,156
"Rabepk","Rabepk",853,970,971,1735,1258,1477
"Dnajc25","Dnajc25",47,70,80,138,113,100
"Ndufb6","Ndufb6",963,1238,1061,2054,1496,1604
"Camkmt","Camkmt",117,69,123,123,103,88
"Impdh2.ps","Impdh2-ps",40,79,62,100,63,70
"Rasgrp3","Rasgrp3",3712,3781,3486,1729,673,901
"Safb","Safb",1411,1994,1815,2339,1630,1876
"Zfp827","Zfp827",23,15,49,107,46,77
"Treml2","Treml2",151,176,181,662,473,466
"Ptges3","Ptges3",1163,1704,1494,4357,2229,3241
"Lrrc73","Lrrc73",23,34,34,13,13,14
"Yipf3","Yipf3",3372,3960,3767,3800,2711,3111
"Jund","Jund",556,736,796,437,272,276
"Nr2c2ap","Nr2c2ap",45,75,59,77,63,78
"X1700029J07Rik","1700029J07Rik",5,18,6,10,3,0
"Srsf3","Srsf3",2554,3381,2514,7434,4098,5021
"Arhgef10","Arhgef10",162,250,234,248,179,190
"Smim15","Smim15",219,251,197,378,217,277
"X3830408C21Rik","3830408C21Rik",1,24,3,26,13,9
"Ccdc78","Ccdc78",3,2,1,3,7,1
"Naip5","Naip5",539,775,697,1216,774,842
"Cecr2","Cecr2",0,0,0,0,7,0
"X2210408I21Rik","2210408I21Rik",149,166,123,301,150,204
"Slc25a16","Slc25a16",307,475,455,955,505,493
"Zfp213","Zfp213",107,82,94,166,100,122
"Zfp946","Zfp946",189,217,198,230,146,210
"Zfp942","Zfp942",126,264,169,200,99,157
"Zfp65","Zfp65",116,196,168,199,93,167
"Zfp58","Zfp58",28,28,38,70,35,56
"X2610044O15Rik8","2610044O15Rik8",123,188,181,287,90,202
"Armc2","Armc2",55,101,87,16,21,26
"Mfsd4b3","Mfsd4b3",18,10,2,82,42,17
"Tia1","Tia1",87,120,93,174,133,147
"Lsmem1","Lsmem1",0,0,0,0,0,0
"Setdb2","Setdb2",195,196,225,579,426,463
"Tbpl1","Tbpl1",825,862,956,1234,658,703
"Map3k5","Map3k5",131,141,122,299,182,140
"Hpcal1","Hpcal1",1761,1951,2031,3978,2521,3010
"Rpl23","Rpl23",4951,5686,5128,7847,5730,6401
"Grid2","Grid2",0,0,0,0,0,0
"Psmg4","Psmg4",501,585,451,827,619,745
"Gm11397","Gm11397",0,0,0,0,0,0
"Dtnb","Dtnb",1660,2151,2012,2949,2049,2347
"X1110002L01Rik","1110002L01Rik",212,262,263,528,369,299
"Zfp777","Zfp777",307,466,395,574,462,543
"Nutf2.ps1","Nutf2-ps1",8,15,13,38,18,21
"Usmg5","Usmg5",4242,4959,4133,8815,6131,7132
"Pcnp","Pcnp",693,836,848,1423,708,952
"Klrg2","Klrg2",452,687,591,360,289,368
"Nt5dc2","Nt5dc2",1917,3043,1953,6092,4179,4803
"Cpa2","Cpa2",7,12,11,14,2,18
"Rnls","Rnls",58,67,75,148,71,78
"Fam189a2","Fam189a2",148,192,169,84,41,63
"X2510002D24Rik","2510002D24Rik",168,197,161,346,215,196
"Rimbp3","Rimbp3",5,12,11,35,14,22
"Cebpd","Cebpd",316,367,381,1487,1223,1374
"Eef1g","Eef1g",19052,23923,20832,34116,24380,28708
"Tut1","Tut1",1953,2605,2157,3019,2239,2467
"Mta2","Mta2",7828,9153,8883,9180,6366,7679
"Eml3","Eml3",1455,1717,1794,1464,1167,1458
"Rom1","Rom1",28,70,48,132,79,92
"B3gat3","B3gat3",1067,1501,1291,1681,1281,1481
"Ganab","Ganab",7693,9145,8636,12225,8722,9945
"Ints5","Ints5",1896,2350,2297,2788,2011,2023
"Uqcc3","Uqcc3",792,756,615,1029,637,825
"Ubxn1","Ubxn1",5413,6683,6175,7210,4949,5724
"Lrrn4cl","Lrrn4cl",1945,2300,2044,656,390,425
"Bscl2","Bscl2",2357,2891,2619,3256,2290,2592
"Hnrnpul2","Hnrnpul2",668,669,786,854,515,577
"Ttc9c","Ttc9c",627,745,665,1486,865,1126
"Zbtb3","Zbtb3",85,65,83,129,94,69
"Polr2g","Polr2g",2211,2364,2157,4453,3261,3773
"Snx29","Snx29",227,181,223,143,76,67
"Gm960","Gm960",153,118,98,183,88,137
"Sms","Sms",501,650,582,1923,1203,1521
"Mpst","Mpst",868,989,742,483,313,290
"Csf2rb","Csf2rb",16412,19894,18338,19015,13463,15368
"Csf2rb2","Csf2rb2",5942,6390,6313,3505,2890,2895
"Ncf4","Ncf4",3391,4631,3972,7454,5503,6194
"Smpd5","Smpd5",50,55,60,43,45,51
"C230004F18Rik","C230004F18Rik",1,0,0,0,4,0
"Zhx2","Zhx2",36,72,71,97,99,65
"X2610005L07Rik","2610005L07Rik",127,116,175,299,135,165
"X6820431F20Rik","6820431F20Rik",49,46,42,77,46,58
"Ccdc112","Ccdc112",35,54,62,58,48,31
"Mcc","Mcc",0,7,3,7,8,0
"Ppia","Ppia",24236,29807,24545,56037,40148,46640
"Ccnf","Ccnf",1853,2438,2112,5232,3770,4493
"A530040E14Rik","A530040E14Rik",64,65,84,112,77,86
"Ang","Ang",132,143,135,120,145,106
"Tuba1a","Tuba1a",2260,3024,2274,6200,5071,5774
"Trim6","Trim6",0,0,0,0,0,1
"Taf1a","Taf1a",145,107,152,324,259,260
"C2cd6","C2cd6",0,0,0,0,0,0
"Nanos1","Nanos1",17,21,18,94,20,40
"Phf20l1","Phf20l1",361,411,476,581,425,473
"Fam84b","Fam84b",216,247,282,104,35,94
"Slc39a2","Slc39a2",2637,2871,2730,1864,1299,1588
"Gm10369","Gm10369",44,29,23,48,16,45
"Ptrh2","Ptrh2",601,584,468,1552,1103,1259
"Gm10382","Gm10382",23,19,31,16,18,19
"Gm10384","Gm10384",10,21,16,93,42,57
"Slfn2","Slfn2",2664,3402,2701,13100,10303,11879
"Slfn10.ps","Slfn10-ps",322,331,409,481,348,314
"Zfp9","Zfp9",12,23,19,37,11,23
"Lyrm9","Lyrm9",178,183,159,533,321,350
"Spef2","Spef2",0,0,0,1,0,1
"Rpl37rt","Rpl37rt",63,60,51,94,45,60
"X1500011B03Rik","1500011B03Rik",1169,1503,1357,1932,1362,1647
"Smim10l1","Smim10l1",320,271,313,489,296,437
"Myo18b","Myo18b",30,58,24,74,49,57
"Gm6712","Gm6712",41,10,22,23,16,22
"X4930522L14Rik","4930522L14Rik",44,128,78,118,87,104
"X5430403G16Rik","5430403G16Rik",19,38,22,38,29,24
"Gm10419","Gm10419",12,16,27,132,67,101
"Grcc10","Grcc10",122,163,104,120,75,86
"X9330160F10Rik","9330160F10Rik",13,8,3,31,13,3
"Ahnak2","Ahnak2",9999,9849,11509,9617,5946,6112
"Cep170b","Cep170b",3493,3993,3774,6101,3658,4318
"G530011O06Rik","G530011O06Rik",7,27,39,65,49,56
"Tmprss11a","Tmprss11a",0,0,0,0,0,0
"A530017D24Rik","A530017D24Rik",16,9,27,28,19,9
"Rybp","Rybp",161,204,144,524,282,313
"Nfxl1","Nfxl1",565,598,768,1002,797,684
"X4933439C10Rik","4933439C10Rik",31,21,24,43,19,31
"Gm12258","Gm12258",34,24,12,52,32,18
"Gm10443","Gm10443",49,49,36,68,42,40
"Sod3","Sod3",0,0,0,0,1,0
"Ptgr2","Ptgr2",1077,1275,1134,1485,881,900
"Armcx5","Armcx5",53,103,89,86,52,75
"Oip5","Oip5",149,242,235,879,615,716
"Gm5127","Gm5127",12,19,23,77,53,45
"Uprt","Uprt",63,52,65,134,51,135
"Zxdb","Zxdb",49,27,30,47,10,19
"Srp54a","Srp54a",109,174,82,154,129,114
"Lrrc61","Lrrc61",439,461,446,418,339,437
"Gm1141","Gm1141",0,2,0,1,0,0
"Vma21","Vma21",1145,1346,1373,2369,1517,1858
"Tmem185a","Tmem185a",1363,1434,1465,1871,1166,1494
"X5031425E22Rik","5031425E22Rik",65,75,69,62,53,58
"X1810058I24Rik","1810058I24Rik",2396,2682,2416,2718,1982,2338
"Zfp449","Zfp449",17,46,40,48,24,14
"Bnip3l.ps","Bnip3l-ps",31,85,55,68,26,43
"X2500004C02Rik","2500004C02Rik",7,6,0,34,14,30
"Dnmt3aos","Dnmt3aos",8,5,11,19,31,18
"Gm10499","Gm10499",1,1,0,0,0,0
