"","control_cells_1","control_cells_2","control_cells_3","LPS_cells_1","LPS_cells_2","LPS_cells_3"
"Bsn",229.468103227964,180.20647204178,209.595385377897,199.601305337822,227.524059135775,235.082276760032
"Apeh",4609.78592715024,5062.89579831347,4517.7036433785,2578.59495517696,3101.10917139386,3039.88984603863
"Mst1",354.414086137431,293.968099643574,362.719475213562,326.556199192268,332.535163352287,327.402037269032
"Ip6k1",1903.02343200573,1975.22401198867,1871.15465806278,1456.45475449683,1463.59226501763,1454.27416554384
"Uba7",1239.8485996401,1452.72591707424,1205.44496253609,2041.15257119314,2636.21626210201,2478.35728211791
"Nckipsd",1058.43664368501,1017.81420801251,1031.68713009846,820.269675292889,913.377833549868,930.811605956725
"Ip6k2",84.0982577275259,47.3167831618081,51.0413632785552,67.7092767223709,78.7583281623838,42.8287548753094
"Prkar2a",1427.2675740043,1457.7596174106,1331.41939105337,2022.81464208083,1777.53171199825,1202.06038683368
"Slc25a20",746.071686411337,712.771967628939,861.187257019026,653.817703350394,786.489415954916,666.225075838147
"Qars",4076.36269242136,4239.38242328455,4053.98742806056,3624.56221954442,3937.91640811919,3952.61819993689
"Nicn1",473.353050637789,536.592455856249,520.187510860168,388.623036187774,413.481222852515,383.555293661104
"Usp4",10661.2562724866,10072.4343730615,10752.3518685314,6004.96647931527,6843.22362477601,6604.19400177271
"Nt5m",403.671637092124,435.918449128998,433.308594641351,397.792000743929,470.362237636459,407.34904636961
"Srek1",749.675897456803,866.803197921634,717.837045257978,916.191150649581,752.579580218334,875.610099672993
"Oas1d",18.021055227327,12.0808808072702,22.8057155074395,17.6326241464507,7.65705968245398,28.5525032502063
"Eml4",1979.91326764232,2266.17189143043,2295.77536108225,2765.50077112934,2462.29162074342,2049.11798325647
"Flcn",6671.39464515645,6498.50713424407,6235.73421160561,3878.47200725331,4213.57055668753,4213.39772962211
"Atxn2l",3281.03345505533,3373.58596543019,3389.36371898661,2727.414302973,2869.2096495824,3004.67509203004
"Chsy1",15.6182478636834,47.3167831618081,51.0413632785552,71.235801551661,56.8810147839439,72.3330082338559
"Gpr19",108.126331363962,133.896428947244,153.124089835665,103.67982998113,108.292701223278,99.933761375722
"Fhl3",33.6393030910104,43.2898228927181,22.8057155074395,41.6129929856238,63.4442087974758,54.2497561753919
"Crebl2",146.571249182259,121.815548139974,173.757832437635,94.510865424976,95.1663131962138,104.692511917423
"Oas3",6187.22896138226,6573.00589922224,6116.27570180474,8101.83814281119,9534.13317032413,9160.59479277452
"X1700025G04Rik",1647.12444777769,1448.69895680515,1678.93505592864,865.409193107803,837.90110239425,736.654583855322
"Pon2",1856.16868841468,1654.07393052874,1694.13886626694,2498.19018906914,2630.7469337574,2443.14252810932
"Prorsd1",362.823911910183,382.561225563555,268.238653825598,227.108199006286,216.585402446555,188.446521451361
"Malt1",1050.02681791225,1029.89508881978,1096.84631726257,3534.98848888045,2919.52747035281,3027.51709463021
"Oas2",457.734802774105,440.952149465361,446.340432074174,789.236256795135,1091.67793758415,966.026359965313
"Nlrp3",212.648451682458,234.570435674496,289.958382880303,752.560398570518,890.406654502506,832.781344797683
"Lmo2",13539.8194941317,13636.2942112062,13706.2350199712,4805.94803735662,4781.28683885805,4519.86126450765
"Exd2",436.109536501313,363.433164285377,423.534716566734,313.155404840965,504.272073373041,405.445546152929
"Resf1",804.940466820605,739.953949445297,804.715961476795,434.467858968546,400.354834825451,344.533539219156
"Trib3",3788.02580878413,3464.19257148472,4239.69111147828,1321.03620105209,1836.60045812003,1827.3602080132
"Abtb2",2080.83117691536,1886.63088606869,2002.55901884374,1614.44306684903,1705.33657784939,1825.45670779652
"Mier3",209.044240636993,133.896428947244,233.487087338071,253.204482743033,228.617924804697,209.385023834846
