"","F-Value","Pr(>F)","2-1","3-1","4-1","3-2","4-2","4-3","diff 2-1","diff 3-1","diff 4-1","diff 3-2","diff 4-2","diff 4-3"
"Apeh",0.381245568208196,0.76836170459498,0.88476410375028,0.919188290549693,0.999072773120913,0.99969835606374,0.824430774031587,0.86707898898947,-0.521324399999999,-0.454828504999998,0.0968298900000022,0.066495895000001,0.618154290000001,0.551658395
"Cyfip1;Cyfip2",1.15425394801153,0.367285206727243,0.330925308345129,0.94148084882918,0.970201083289123,0.630788553361385,0.560254260659632,0.999325236974651,-1.13739443,-0.360053062499997,-0.282343387499999,0.7773413675,0.855051042499998,0.0777096749999977
"Arsb",17.8386759768016,0.000101656202276197,0.0160897896577605,0.019323631191421,4.78694930264867e-05,0.999567651408184,0.0140557557090104,0.0117084743015988,1.8397929675,1.78666997,3.71882081,-0.0531229975000009,1.8790278425,1.93215084
"Cluh",1.61200928450024,0.23843982391543,0.189789917451089,0.655058421220157,0.501818150955817,0.758566931236653,0.886130922934588,0.993080806814298,-0.923353434999996,-0.500744817499996,-0.614346979999993,0.4226086175,0.309006455000002,-0.113602162499998
"Rprd1b",1.83276712291981,0.194899754758632,0.59410492009495,0.836541270167916,0.910201996978541,0.204230367638969,0.26483809133389,0.997937910097909,0.581716777499999,-0.381103275000001,-0.300666807500001,-0.9628200525,-0.882383584999999,0.0804364675000002
"Cd68",1.70502453872246,0.218892675594527,0.941520746478596,0.639188681881929,0.801190796437407,0.337429286365404,0.985066670102153,0.205915377858513,0.249810220000001,-0.533062462499998,0.403698445000003,-0.782872682499999,0.153888225000003,0.936760907500002
"Smoc1",0.240739847204529,0.866261532755382,0.850111940514028,0.991278057532831,0.943680261892337,0.952894886873348,0.99403369935437,0.993030456157317,-1.0814199425,-0.385555742500003,-0.742689847500003,0.695864200000001,0.338730095000001,-0.357134105
"Otof",0.681372990143708,0.580212411009505,0.759618761295211,0.590907481026504,0.984093814881634,0.990629975790547,0.919398656697532,0.790907598170633,0.903359652499997,1.17322325749999,0.323815344999996,0.269863604999998,-0.579544307500001,-0.849407912499998
"Eef1d",0.948468256003251,0.448036779312559,0.598253100454683,0.852262924026147,0.422702446333655,0.964931689004061,0.988592067640947,0.861104933092436,-0.88732886,-0.560845375,-1.10786104,0.326483485000001,-0.220532179999999,-0.547015665
"Edc4",1.16076579265404,0.364994691519642,0.870881510254323,0.916231904078675,0.728343969640368,0.521601202224349,0.991616238923218,0.372147870781369,0.324875352499998,-0.274680135000004,0.446222782499998,-0.599555487500002,0.12134743,0.720902917500002
"Txndc5",1.9683459027662,0.172612073987206,0.996960864807025,0.700527123382759,0.269368845661015,0.58379609424127,0.200319992648422,0.838881590496469,0.0631074900000073,-0.342920304999993,-0.603721617499993,-0.406027795,-0.6668291075,-0.2608013125
"Syncrip",1.34930888679058,0.304899835327474,0.993979553246076,0.790635126687062,0.715550089536225,0.649047289956071,0.847368640306523,0.24318605101744,-0.0680832850000002,0.249351025000003,-0.286386964999998,0.317434310000003,-0.218303679999998,-0.535737990000001
"Agpat1",2.47411324189254,0.111544402879317,0.999866716123742,0.217757268779152,0.379328876101715,0.195772590228411,0.346083052769495,0.977613612832514,-0.0248081674999998,0.727952719999999,0.587796452499999,0.752760887499999,0.612604619999999,-0.1401562675
"Ndufa12",1.61549601777022,0.237672984412437,0.381300314837093,0.269255893340302,0.920771284710788,0.993722083452329,0.731460188945547,0.583061214999655,-1.03793120499999,-1.19803190249999,-0.391641379999994,-0.160100697499999,0.646289825,0.806390522499999
"Celf2",1.33499887399651,0.30906314471806,0.648102702898347,0.429534906509438,0.295168898586272,0.979301624666312,0.904495446371692,0.991279111634616,0.999605417500003,1.327032805,1.5699737075,0.327427387499998,0.570368289999999,0.242940902500001
"Kctd12",6.89442447711309,0.00594425407548003,0.353490724620178,0.00369435834719367,0.432174838776368,0.0735891555900386,0.99847684514972,0.056064714944244,0.911185742500001,2.3600857275,0.827029705000003,1.448899985,-0.0841560374999979,-1.5330560225
