"","Geneid","control.cells_1","control.cells_2","control.cells_3","TGFB.cells_1","TGFB.cells_2","TGFB.cells_3"
"Ormdl3","Ormdl3",657,763,624,556,533,775
"Prdm1","Prdm1",145,209,303,260,187,363
"Spon1","Spon1",0,0,0,0,0,0
"Atg5","Atg5",825,1167,871,1091,907,1324
"P3h2","P3h2",0,0,1,0,0,0
"Pde4dip","Pde4dip",1338,1556,1398,1859,1078,1587
"Ttc39b","Ttc39b",635,624,844,714,492,861
"Enpp6","Enpp6",24,25,32,43,20,28
"Fam126b","Fam126b",588,830,933,622,443,987
"Mylip","Mylip",1265,1616,1589,3197,2520,3506
"Slc43a2","Slc43a2",2115,2952,2485,3092,2661,3229
"Slamf7","Slamf7",867,815,974,83,63,125
"Spag4","Spag4",194,275,187,368,313,335
"Chpf2","Chpf2",2638,3283,3259,2888,2402,3122
"Btbd10","Btbd10",469,513,588,477,358,482
"Kcna7","Kcna7",32,37,26,44,52,23
"Asb10","Asb10",427,450,312,764,592,712
"Prkab2","Prkab2",112,136,103,150,101,141
"Fbxo8","Fbxo8",1015,1200,1134,1144,884,1405
"Pgap3","Pgap3",139,176,223,152,167,176
"Mfsd14b","Mfsd14b",1803,2197,2028,2625,1875,3379
"Tapbpl","Tapbpl",248,342,248,272,223,310
"Bend3","Bend3",126,163,160,247,103,223
"Cep44","Cep44",506,530,493,435,400,575
"Tlcd2","Tlcd2",55,66,54,37,12,17
"Primpol","Primpol",201,262,187,273,256,312
"F11r","F11r",1,0,0,71,22,119
"Hoxa7","Hoxa7",285,347,348,417,310,471
"Hrc","Hrc",2,5,12,36,27,58
"Pdss2","Pdss2",160,116,238,162,147,205
"Cep250","Cep250",2314,2717,2559,3381,2709,3625
"Aox4","Aox4",0,1,5,0,0,1
"Mical2","Mical2",320,340,479,1080,786,1144
"Usp38","Usp38",930,1098,1149,1440,1102,1609
"Ncapd2","Ncapd2",1461,1988,1755,2166,2094,3042
"Hoxa5","Hoxa5",77,93,86,132,71,153
"Bcl9","Bcl9",271,373,324,378,348,404
"Trpm4","Trpm4",178,308,265,449,338,401
"Slc22a23","Slc22a23",3,8,12,5,18,9
"Ovca2","Ovca2",167,131,135,124,106,176
"Iffo1","Iffo1",338,331,315,338,289,442
"Fau","Fau",7427,8336,7442,8347,6956,8285
"Nop2","Nop2",3766,4849,3894,2983,2469,3557
"Ostm1","Ostm1",1927,2195,2241,2798,2175,3730
"Bphl","Bphl",687,898,854,969,850,994
"Smg6","Smg6",513,546,477,581,538,742
"Snx25","Snx25",88,170,113,226,76,126
"Ccdc155","Ccdc155",11,17,30,20,40,32
"Atg9b","Atg9b",86,91,88,109,66,143
"Wdr36","Wdr36",1641,2054,2112,1888,1462,2283
"Snx10","Snx10",1073,1526,1494,2559,1861,3248
"Afg1l","Afg1l",469,446,542,439,300,449
"Edem2","Edem2",16866,21115,18959,32905,27111,32452
"Kcnh2","Kcnh2",140,282,147,808,551,560
"X1700066M21Rik","1700066M21Rik",142,115,153,146,98,278
"Trpc4ap","Trpc4ap",16829,20928,19029,23198,19436,25630
"Serpinb9f","Serpinb9f",0,0,0,0,0,0
"Satb2","Satb2",48,20,67,55,62,71
"Sesn1","Sesn1",577,739,562,1529,1281,2426
"Tsr1","Tsr1",927,1073,965,1027,703,1156
"Mlxip","Mlxip",1373,1335,1395,1590,1182,1742
"Txlng","Txlng",150,147,106,149,113,193
"Zfp384","Zfp384",1346,1523,1433,1565,1221,1531
"Tcte2","Tcte2",32,20,27,33,3,27
"Sgsm2","Sgsm2",1106,1330,1232,1133,817,918
"Arl5c","Arl5c",73,64,55,28,38,10
"Camp","Camp",0,1,0,0,0,0
"Fbxo25","Fbxo25",404,548,479,636,451,632
"Lasp1","Lasp1",9086,10215,9509,12174,9162,12442
"Focad","Focad",1579,2062,1973,1768,1454,1599
"Ncoa6","Ncoa6",1675,1941,1832,1846,1130,1375
"Sbf2","Sbf2",2042,2495,2495,3104,1965,3126
"Gmds","Gmds",724,850,798,1056,817,1322
"Rbm8a","Rbm8a",1717,2400,1985,2404,2119,3120
"Trp53inp2","Trp53inp2",4145,4364,4729,5675,4523,6133
"Ttk","Ttk",176,275,234,315,251,578
"Pigu","Pigu",1475,1717,1636,1749,1627,2202
"Setd1b","Setd1b",39,24,52,59,42,54
"Rras","Rras",1138,1349,1222,795,848,785
"Mpp6","Mpp6",1058,1447,1156,1320,762,1151
"Gpr162","Gpr162",1775,2114,1950,1442,1484,1365
"Txnip","Txnip",13087,18981,16576,16778,14495,13747
"Upf3a","Upf3a",515,566,526,494,576,628
"Foxf2","Foxf2",117,134,186,96,102,80
"Scaf1","Scaf1",1955,2348,2158,1896,1772,2032
"X1700018A04Rik","1700018A04Rik",0,0,0,0,0,0
"Higd1a","Higd1a",834,818,822,897,808,1061
"Foxq1","Foxq1",0,0,0,19,7,8
"Cdc16","Cdc16",2115,2578,2193,2578,2052,2891
"Fig4","Fig4",1470,1668,1682,1806,1411,2046
"Hdhd3","Hdhd3",103,128,124,157,162,126
"Poli","Poli",220,314,236,388,228,277
"Usp5","Usp5",6930,8348,7548,6587,5687,7294
"Mllt6","Mllt6",95,127,80,140,131,170
"Cdc40","Cdc40",577,769,727,859,698,1265
"Spsb2","Spsb2",1183,1386,1124,836,727,834
"Dennd2a","Dennd2a",650,717,714,718,591,628
"Abhd17c","Abhd17c",971,1036,984,3467,984,732
"Uqcrfs1","Uqcrfs1",5606,6713,5780,6161,4682,6843
"Chmp4b","Chmp4b",618,631,680,519,570,493
"Nos1ap","Nos1ap",0,0,0,0,0,1
"Cdk19","Cdk19",603,688,782,1225,769,1608
"Tfdp1","Tfdp1",1872,2570,2070,2607,1990,3587
"Socs7","Socs7",210,178,166,212,79,153
"Polr2l","Polr2l",404,487,409,481,502,575
"Otud7b","Otud7b",2318,2581,2376,2489,1972,3134
"Tmco3","Tmco3",1500,1632,1631,2013,1448,1992
"Prr3","Prr3",510,783,764,702,540,778
"Ptov1","Ptov1",2659,3718,3156,3525,1950,1931
"Mesd","Mesd",1720,1847,1834,1928,1397,2131
"Dcun1d2","Dcun1d2",582,641,620,673,418,682
"Parp12","Parp12",1803,2438,2156,2083,1323,1562
"Gdf15","Gdf15",3361,3926,3616,663,666,499
"Rpf2","Rpf2",614,841,745,717,539,924
"Grtp1","Grtp1",239,201,147,277,183,298
"Tbkbp1","Tbkbp1",1266,1506,1541,1150,739,644
"Jarid2","Jarid2",570,858,653,1021,790,1069
"Tbc1d17","Tbc1d17",2497,2581,2582,2486,2354,2442
"C1s1","C1s1",0,0,2,3,5,4
"X1700003F12Rik","1700003F12Rik",865,1023,942,1344,1440,1157
"Fchsd1","Fchsd1",224,219,283,246,232,298
"Armc10","Armc10",428,393,433,483,301,541
"C1rl","C1rl",43,60,49,96,77,77
"Cbfa2t2","Cbfa2t2",1099,1107,1244,1534,1179,1610
"Osbpl7","Osbpl7",574,612,687,613,626,698
"Zfp280d","Zfp280d",171,241,235,255,188,328
"Ubn2","Ubn2",213,286,235,394,256,508
"Atf5","Atf5",168,208,211,57,78,46
"Pcid2","Pcid2",1837,2392,2246,2192,1771,2071
"BC028528","BC028528",350,557,455,339,289,600
"Inip","Inip",641,783,805,779,505,883
"Cul7","Cul7",3188,3779,3364,3297,2843,4014
"Ranbp9","Ranbp9",152,213,166,287,192,244
"Ciart","Ciart",247,237,244,209,241,258
"Efl1","Efl1",719,923,832,1002,797,898
"Ift172","Ift172",1708,1955,2012,2121,1990,2127
"Rad9b","Rad9b",61,81,99,99,64,107
"Saxo2","Saxo2",24,18,8,15,19,23
"Susd1","Susd1",94,112,97,57,64,58
"Pptc7","Pptc7",729,751,827,990,485,702
"Tctn1","Tctn1",141,126,100,156,146,167
"Capn8","Capn8",0,3,0,0,2,0
"Ripor1","Ripor1",2485,3285,2953,2690,2282,2986
"Dock10","Dock10",3011,2976,3154,3414,2293,4131
"Phrf1","Phrf1",3251,4401,3854,3414,2727,4002
"Mcl1","Mcl1",23442,26464,25277,24180,9821,10909
"Nfe2l1","Nfe2l1",6270,7158,7237,4204,3425,4258
"Rassf7","Rassf7",219,191,194,121,138,216
"Ensa","Ensa",9190,10646,9872,7858,6469,8348
"Med30","Med30",372,564,401,573,409,544
"Tm6sf1","Tm6sf1",300,399,349,448,290,508
"Polr3k","Polr3k",671,921,703,1138,796,1637
"Degs1","Degs1",5471,5623,5538,6184,4628,6346
"Lrrc56","Lrrc56",25,59,36,41,49,52
"Ctss","Ctss",47825,58380,54651,118574,91257,122904
"Pold1","Pold1",1837,2851,1991,1999,1730,2647
"Ramac","Ramac",346,555,428,491,361,670
"Creb3l2","Creb3l2",264,287,170,674,598,698
"Rnh1","Rnh1",57378,68300,63072,34596,31389,33392
"Sycp2l","Sycp2l",0,0,0,0,0,0
"Ric1","Ric1",924,1073,1054,2185,1552,2155
"Herc1","Herc1",1735,1645,2275,2358,1651,2744
"Dgki","Dgki",246,225,233,246,233,236
"Arfrp1","Arfrp1",784,859,750,776,781,1094
"Trps1","Trps1",258,342,372,563,322,605
"Pak1ip1","Pak1ip1",2107,2627,2350,2510,2193,3067
"Rtel1","Rtel1",718,1063,871,791,650,1012
"Atp5j2","Atp5j2",3388,3941,3302,3720,3239,4420
"Hoxb4","Hoxb4",21,9,30,18,6,19
"Josd2","Josd2",767,886,853,554,444,595
"Mapkap1","Mapkap1",1749,2084,2048,2105,1571,2151
"Taf5l","Taf5l",1621,1905,1640,1737,1380,1879
"Gmeb2","Gmeb2",941,940,877,782,788,832
"Golga4","Golga4",2831,3235,3452,3649,2320,3837
"Mindy1","Mindy1",14377,16986,16115,7413,6109,7198
"Atp5l","Atp5l",911,996,944,846,749,1110
"Pbx3","Pbx3",91,92,118,155,62,84
"Bud31","Bud31",1186,1277,1146,1312,1014,1473
"Pkhd1l1","Pkhd1l1",0,0,0,0,0,1
"Mboat1","Mboat1",725,823,752,415,353,648
"Wdr26","Wdr26",2160,2733,2512,2741,1815,2588
"Nudcd1","Nudcd1",599,860,627,753,467,1091
"Shank1","Shank1",6,2,0,3,0,9
"Mvb12b","Mvb12b",397,424,397,466,322,442
"Angptl6","Angptl6",153,174,130,36,42,59
"Ptk6","Ptk6",0,0,0,0,0,0
"Elovl3","Elovl3",44,50,19,29,17,25
"Ttll6","Ttll6",1,0,0,0,0,1
"Nup205","Nup205",6782,8758,7821,9770,8078,10563
"Abcf1","Abcf1",3952,5174,4648,4451,3682,4789
"Alpk3","Alpk3",26,26,26,11,1,1
"Ptpn3","Ptpn3",0,0,4,2,0,10
"Gabpb2","Gabpb2",529,506,543,617,502,845
"Kpna7","Kpna7",2,0,1,1,0,0
"Kdm3b","Kdm3b",619,843,757,857,698,1000
"Ascc3","Ascc3",1005,1337,1115,1400,853,1445
"Vill","Vill",1923,2450,2222,1996,1864,2239
"Ephx1","Ephx1",7497,9724,8518,5830,4778,5225
"Sema6c","Sema6c",24,27,22,66,42,67
"Smurf1","Smurf1",1221,1275,1354,1456,607,673
"Stap2","Stap2",1,5,0,1,1,6
"X1700028J19Rik","1700028J19Rik",26,46,34,28,2,27
"Cnot4","Cnot4",892,1197,1045,1466,1010,1623
"Ost4","Ost4",599,718,562,705,565,917
"Sde2","Sde2",1968,2190,2356,2008,1505,1964
"Gngt2","Gngt2",992,1035,1150,1429,1168,1539
"Trmt112","Trmt112",2074,2479,2008,2415,2006,2391
"Ctnnal1","Ctnnal1",144,197,170,362,245,388
"Hace1","Hace1",554,822,758,579,450,566
"Fam206a","Fam206a",682,683,673,889,577,761
"Tmem214","Tmem214",2692,3428,3151,2907,2539,3338
"Ralgps1","Ralgps1",135,152,211,148,94,104
"Agbl3","Agbl3",50,71,35,87,79,85
"Vars2","Vars2",1573,1746,1481,1530,1427,1520
"Gcnt1","Gcnt1",1846,2414,2119,1697,1057,2113
"Kif16b","Kif16b",956,1427,1254,1477,912,1611
"Phb","Phb",3548,4856,3621,4004,3308,4585
"Ythdf1","Ythdf1",2478,2634,2660,3083,1277,1482
"Itpkb","Itpkb",665,779,708,750,783,960
"Baiap2l1","Baiap2l1",12,32,14,23,10,15
"Garnl3","Garnl3",11,38,28,33,28,9
"Pi4kb","Pi4kb",1136,1562,1406,1171,1087,1358
"Zcchc2","Zcchc2",163,167,197,199,200,371
"Bpgm","Bpgm",130,198,127,207,148,353
"Zfhx3","Zfhx3",376,500,577,1032,809,960
"Rnf146","Rnf146",205,232,190,320,233,307
"Mrps34","Mrps34",305,467,367,308,272,365
"A230050P20Rik","A230050P20Rik",530,660,623,769,610,775
"Man2a2","Man2a2",4691,5564,5206,6207,3399,4622
"Ctu1","Ctu1",408,446,438,324,313,391
"Irs2","Irs2",1405,1440,1384,1568,790,912
"Zfp653","Zfp653",210,160,214,149,155,161
"Rpl12","Rpl12",5146,5524,4891,4946,4713,5743
"Pogz","Pogz",853,1173,1056,1228,992,1250
"Kat7","Kat7",3698,4443,4234,4427,3297,4339
"Plcl2","Plcl2",1397,1409,1588,1771,1252,1639
"Dido1","Dido1",1229,1248,1388,1688,1043,1724
"Rccd1","Rccd1",83,81,77,75,56,53
"Tcfl5","Tcfl5",0,0,0,0,0,0
"Sccpdh","Sccpdh",103,124,109,159,152,174
"Prc1","Prc1",777,812,721,968,844,1678
"Cnst","Cnst",303,524,390,462,358,452
"Supt3","Supt3",860,926,969,732,759,765
"Edc3","Edc3",1678,2173,1870,2151,1621,2475
"Slco4a1","Slco4a1",4622,5040,4202,5045,4034,7340
"Ube2l3","Ube2l3",5771,6834,6272,7047,5379,7200
"Pdk2","Pdk2",292,427,363,642,425,446
"Lmtk2","Lmtk2",2485,2754,2820,4208,3337,4587
"Rabggtb","Rabggtb",563,652,512,554,417,671
"Ppp1r9b","Ppp1r9b",800,1065,949,1188,928,1269
"Bloc1s5","Bloc1s5",482,589,523,539,618,674
"Cfap157","Cfap157",64,60,46,30,48,51
"Cables2","Cables2",809,1029,802,898,361,609
"Txndc5","Txndc5",5381,6781,6002,6641,5417,8071
"Ube3c","Ube3c",1184,1383,1181,1636,663,920
"Rps21","Rps21",1853,1997,1664,1927,1785,2282
"Tlr4","Tlr4",1656,1695,1800,1109,779,1766
"Cpq","Cpq",0,0,0,0,0,0
"Siglecf","Siglecf",22,24,11,216,146,300
"Timm8b","Timm8b",929,1112,945,938,793,1128
"Mtg1","Mtg1",715,792,652,698,622,838
"Arhgap18","Arhgap18",482,699,723,499,441,638
"Tasp1","Tasp1",234,233,223,266,257,367
"Adrm1","Adrm1",3671,4201,4154,2963,2699,3344
"Arpin","Arpin",346,425,449,464,327,477
"Usp6nl","Usp6nl",2076,2314,2418,2575,1674,2743
"Pigk","Pigk",1336,1515,1354,1674,1408,1960
"Foxred1","Foxred1",1275,1561,1410,1389,1184,1450
"Osbpl2","Osbpl2",2400,2778,2529,2964,2377,3035
"Eme1","Eme1",100,211,154,149,133,347
"Myo16","Myo16",3,0,10,13,18,2
"Ak5","Ak5",4,0,1,1,1,0
"Anpep","Anpep",11600,12700,12691,4978,3677,4497
"Echdc3","Echdc3",1003,1374,1072,747,545,693
"Fam173b","Fam173b",366,388,289,325,219,247
"Psmd7","Psmd7",3373,3927,3550,3367,2749,4087
"Zzz3","Zzz3",860,933,1091,1235,815,1334
"Mtg2","Mtg2",787,1070,795,780,769,811
"Zfp503","Zfp503",81,126,156,174,122,111
"Ss18l1","Ss18l1",205,363,275,346,275,416
"Rreb1","Rreb1",1358,1667,1424,2057,1705,2493
"L3mbtl3","L3mbtl3",159,142,199,177,128,139
"Rsad1","Rsad1",157,217,217,148,150,165
"Wdr93","Wdr93",61,51,51,71,60,49
"X44991","44991",530,767,694,743,491,911
"Nexn","Nexn",0,0,0,0,0,0
"Atp6v1g1","Atp6v1g1",16742,18763,18243,29771,25210,34244
"Lsm14b","Lsm14b",635,673,672,616,282,347
"F13a1","F13a1",32478,43611,36482,14336,8093,11413
"Nrn1","Nrn1",17,41,38,25,31,33
"Taf4","Taf4",41,44,42,102,56,67
"Prune2","Prune2",1,19,4,13,4,12
"Cdc123","Cdc123",2106,2625,2222,2871,2062,3500
"Zc3hc1","Zc3hc1",1642,1812,1960,1704,1495,1973
"Gipc2","Gipc2",4,24,2,0,0,6
"Whrn","Whrn",157,157,241,463,219,289
"Camk1d","Camk1d",1601,1859,1690,2278,1385,3048
"Sart1","Sart1",2782,3313,2956,2964,2323,2968
"Runx2","Runx2",133,215,196,294,207,273
"Stim2","Stim2",341,411,356,348,240,311
"Fam102a","Fam102a",1986,2293,2222,791,586,1140
"Akna","Akna",1228,1988,1700,1523,1178,1853
"Ube2h","Ube2h",2978,3458,3340,6145,3685,4719
"Cmc1","Cmc1",386,553,433,451,344,506
"Naif1","Naif1",398,592,525,430,409,531
"Akap7","Akap7",97,156,130,200,96,134
"Dap","Dap",3130,3498,3272,3272,2570,3748
"Polg","Polg",1984,2296,2166,2369,2011,2733
"Tbc1d19","Tbc1d19",275,396,406,485,345,496
"AW209491","AW209491",363,364,472,367,322,387
"Nubp2","Nubp2",2471,2776,2618,2494,2018,3051
"Fanci","Fanci",162,281,212,257,288,468
"Rbpj","Rbpj",2708,2958,3066,2687,1767,2613
"Nlrc4","Nlrc4",93,40,77,37,41,41
"X1110008P14Rik","1110008P14Rik",942,1022,892,914,737,1066
"Orm1","Orm1",20,26,14,10,11,20
"Adk","Adk",1154,1493,1281,1398,1054,1634
"Zdhhc1","Zdhhc1",331,409,343,561,415,524
"Atf7ip2","Atf7ip2",3,32,19,16,16,20
"Tbc1d25","Tbc1d25",700,842,909,551,480,607
"Abhd2","Abhd2",415,462,480,497,437,724
"Ciz1","Ciz1",1771,2441,2063,1992,1683,1992
"Daglb","Daglb",3775,4498,3731,6145,4667,6502
"Metrnl","Metrnl",7643,8173,8373,5409,4921,4304
"Gpatch2","Gpatch2",200,292,299,403,204,460
"Il18","Il18",139,154,174,174,140,281
"Srrm2","Srrm2",5643,6897,6490,6313,5571,7715
"Arid4b","Arid4b",196,202,218,263,190,332
"Ppp1r10","Ppp1r10",2132,2857,2611,2013,1811,2186
"Rpl22l1","Rpl22l1",299,403,339,379,348,412
"Tbcd","Tbcd",2711,3212,3058,2836,2445,2896
"Suv39h1","Suv39h1",764,967,855,882,645,1085
"Stx11","Stx11",346,513,476,442,290,418
"Tbce","Tbce",184,341,284,258,246,318
"Sec24d","Sec24d",3034,3646,3470,3191,2366,3839
"Isg20","Isg20",198,198,169,109,27,84
"B3galnt2","B3galnt2",357,511,460,385,319,488
"E130309D02Rik","E130309D02Rik",1569,2326,1879,1658,1406,1634
"Lyplal1","Lyplal1",655,715,720,866,683,949
"Pomt1","Pomt1",921,1131,1041,881,769,889
"Prrc2b","Prrc2b",2051,2224,2076,2423,1218,1106
"Npepl1","Npepl1",2657,3710,2974,2474,1949,2675
"Megf9","Megf9",2,41,9,37,28,30
"Foxk2","Foxk2",192,197,169,346,123,167
"Azi2","Azi2",685,879,767,636,511,988
"Fndc3b","Fndc3b",1300,1746,1647,1990,1389,2273
"Cybc1","Cybc1",1400,1635,1470,1544,1329,1531
"Cdk5rap2","Cdk5rap2",1364,1414,1545,1750,1229,1760
"Hexdc","Hexdc",45,49,43,72,46,71
"Ndst2","Ndst2",1791,2516,2220,2232,1871,2238
"Rftn1","Rftn1",3656,4281,4157,7167,5731,7008
"Rab3gap2","Rab3gap2",6985,7970,8197,5576,4506,5122
"Rnf122","Rnf122",4,2,4,0,0,0
"Tsga10ip","Tsga10ip",15,10,10,8,14,0
"Ankar","Ankar",0,5,0,0,0,0
"Mettl22","Mettl22",370,480,344,358,312,390
"Smarcal1","Smarcal1",1274,1556,1624,1783,1437,1619
"Exosc2","Exosc2",431,568,505,437,429,656
"Fut11","Fut11",9,2,21,30,11,7
"Picalm","Picalm",619,698,759,1522,912,1812
"Sec24c","Sec24c",5925,6505,6651,6183,5229,6480
"Wdr17","Wdr17",0,0,0,0,0,0
"Hlx","Hlx",863,953,923,554,591,537
"Wdr45","Wdr45",502,464,520,354,416,528
"Dusp10","Dusp10",339,525,535,167,99,133
"Cdh6","Cdh6",5,0,5,0,0,0
"Mreg","Mreg",2059,2625,2501,4073,2490,2512
"Neil3","Neil3",91,238,183,287,247,377
"Heatr5b","Heatr5b",1917,2042,2067,2519,1876,2780
"Cntnap2","Cntnap2",0,0,0,0,0,0
"Alg1","Alg1",1254,1415,1369,1419,1189,1534
"Tmem135","Tmem135",2435,2759,2611,3476,2462,3906
"Prpf18","Prpf18",1279,1486,1469,1667,1199,2039
"Dcxr","Dcxr",2305,2611,2287,2634,2293,2444
"Morc3","Morc3",1519,1805,1633,1907,1339,2370
"Ppl","Ppl",0,0,0,0,0,2
"Mtmr12","Mtmr12",884,1004,1074,1051,800,1313
"Tcta","Tcta",272,288,246,238,219,295
"Slc9a8","Slc9a8",1317,1611,1709,1281,1043,1275
"Zdhhc2","Zdhhc2",46,22,19,27,7,24
"Ubn1","Ubn1",1649,1835,1655,2150,1525,1819
"Wfs1","Wfs1",1643,1694,1621,532,412,499
"Tnrc18","Tnrc18",1348,1742,1539,1219,908,1432
"Micu3","Micu3",63,28,39,53,27,49
"Nt5dc1","Nt5dc1",130,171,263,314,212,292
"Asb6","Asb6",1392,1740,1244,1196,1124,1410
"Tspyl4","Tspyl4",263,335,285,376,227,318
"Cdnf","Cdnf",15,10,13,4,7,3
"Dse","Dse",2046,2199,2173,2975,1935,3705
"Znfx1","Znfx1",2874,3613,3374,2351,1918,2920
"Nup133","Nup133",2702,3145,2732,3114,2544,3565
"Uhrf1bp1","Uhrf1bp1",1477,1977,1421,2136,1631,2311
"Ptpa","Ptpa",3753,4761,4171,4434,4350,5041
"Cdsn","Cdsn",107,120,133,197,97,170
"Cep104","Cep104",1204,1358,1408,1252,1214,1388
"Tusc3","Tusc3",621,714,650,939,598,884
"Zup1","Zup1",211,187,239,261,190,366
"Stau1","Stau1",2326,3038,2765,4504,3260,4557
"Ubald1","Ubald1",767,851,787,702,649,710
"Nphp4","Nphp4",194,191,242,184,139,200
"Grin3a","Grin3a",6,0,0,0,1,0
"Myo9a","Myo9a",283,504,501,541,330,665
"Fam149b","Fam149b",245,265,210,321,282,319
"Rbms3","Rbms3",1,3,5,6,0,5
"Stub1","Stub1",1352,1553,1425,1411,1324,1663
"Mocos","Mocos",2305,2903,2847,2417,2057,2314
"Gm7488","Gm7488",21,25,13,36,28,29
"Prex1","Prex1",7567,9319,9179,12228,8643,11546
"Ap5z1","Ap5z1",3743,4584,4356,4385,3914,4588
"Hnrnpu","Hnrnpu",12506,15771,14447,17461,13006,20546
"Lonrf1","Lonrf1",500,523,526,559,222,289
"Zfp189","Zfp189",160,143,191,241,200,277
"Coro7","Coro7",2621,2935,2940,2779,2398,3347
"Mrpl12","Mrpl12",1065,1352,1095,920,832,1112
"Kyat1","Kyat1",358,547,456,501,548,478
"Cpeb3","Cpeb3",190,195,266,182,113,163
"Rxrb","Rxrb",3146,4036,3492,3215,3002,3487
"Spout1","Spout1",1490,1809,1648,1408,1113,1475
"Icmt","Icmt",1260,1626,1275,1466,1244,1464
"Oxld1","Oxld1",330,399,337,303,312,369
"Zmynd8","Zmynd8",4276,5128,5160,6703,4803,7219
"Tbc1d13","Tbc1d13",73,78,56,90,22,68
"Mrps6","Mrps6",415,421,369,320,256,363
"Lap3","Lap3",2706,3312,2849,3030,2423,3238
"Sdk1","Sdk1",0,2,0,1,3,2
"Gm5422","Gm5422",18,20,7,26,20,23
"Zer1","Zer1",867,1023,1003,1221,1069,1134
"Tspan10","Tspan10",1187,1309,1246,616,555,368
"Ncoa7","Ncoa7",170,176,180,129,146,153
"Usp53","Usp53",157,183,219,236,105,243
"Nploc4","Nploc4",5418,6214,6472,5321,4577,5718
"Lmbrd2","Lmbrd2",165,224,271,267,222,290
"Plekhg5","Plekhg5",574,661,588,577,406,501
"Wdr34","Wdr34",831,1004,928,700,642,771
"Dock3","Dock3",631,810,917,1140,649,667
"Trp53rka","Trp53rka",563,663,681,657,602,765
"Fnbp1l","Fnbp1l",116,118,111,59,46,109
"Prkrip1","Prkrip1",656,665,656,465,395,507
"Slx4","Slx4",966,1369,1132,1136,846,1258
"Alg2","Alg2",1109,1255,1238,1610,1230,1620
"Bahcc1","Bahcc1",15,20,17,7,15,31
"Htatip2","Htatip2",2057,2374,2151,1611,1367,1660
"Orai2","Orai2",729,736,728,838,673,1041
"Exo1","Exo1",292,421,289,386,327,757
"Fbxl5","Fbxl5",1396,1574,1374,1770,1285,1795
"Alkbh4","Alkbh4",280,400,326,294,289,386
"Dnttip2","Dnttip2",2009,2523,2406,2429,1949,2938
"Thap3","Thap3",231,274,208,234,201,197
"Dnajc11","Dnajc11",3194,4087,3567,3542,2935,3783
"Ypel5","Ypel5",1111,1255,1254,1627,1259,1897
"Polr2j","Polr2j",428,524,424,574,380,575
"Galnt12","Galnt12",1191,1473,1422,1439,1046,1734
"Cep131","Cep131",325,359,328,522,439,477
"Cpeb2","Cpeb2",73,98,86,206,74,174
"Kmo","Kmo",28,128,39,9,19,28
"Cercam","Cercam",681,849,791,982,806,1058
"Zfp597","Zfp597",12,24,36,61,13,28
"Zfand1","Zfand1",163,245,251,353,222,315
"Cplane1","Cplane1",341,427,489,504,404,546
"Ncoa5","Ncoa5",1244,1462,1365,1153,980,1431
"Gabbr2","Gabbr2",0,1,0,4,0,0
"Zc3h10","Zc3h10",640,695,760,696,569,643
"Tbc1d2","Tbc1d2",1075,1333,1172,1157,922,1001
"Myl6b","Myl6b",16,9,23,55,22,9
"Trub2","Trub2",876,1019,822,1161,979,1104
"Wdr70","Wdr70",1067,1169,1097,1026,881,1221
"Zfp335","Zfp335",1027,1501,1234,950,776,1146
"Nhsl1","Nhsl1",0,0,0,1,0,0
"Epg5","Epg5",1699,1843,1739,1462,1192,1390
"Zfp800","Zfp800",346,338,306,347,244,400
"Mcph1","Mcph1",750,998,765,711,628,886
"Rapgef1","Rapgef1",1807,2140,2094,2251,1080,1303
"Pcif1","Pcif1",2490,2576,2698,2557,2407,2640
"Endov","Endov",282,311,310,280,230,218
"Rere","Rere",1535,1752,1698,1338,1251,1344
"Trim14","Trim14",204,277,272,211,134,173
"Slc44a3","Slc44a3",7,0,0,1,0,4
"Neurl2","Neurl2",531,637,610,514,368,499
"Heca","Heca",54,56,56,117,32,102
"Tmem120a","Tmem120a",2328,2637,2463,1135,1043,1352
"Alg14","Alg14",275,260,234,372,314,510
"Txlnb","Txlnb",76,58,58,208,89,203
"Armh3","Armh3",538,693,611,566,490,693
"Eva1c","Eva1c",5,7,4,17,10,15
"Slc26a11","Slc26a11",626,692,871,1224,1054,1313
"Cited2","Cited2",1935,2023,2068,2730,1336,1317
"Spsb1","Spsb1",2,1,0,538,483,674
"Pak7","Pak7",0,0,0,0,0,0
"Coq10a","Coq10a",848,898,765,809,419,439
"Rhbdd2","Rhbdd2",1361,1839,1513,1400,1187,1604
"Urb1","Urb1",897,1035,984,679,643,773
"Gsap","Gsap",1179,1289,1338,2983,2162,2705
"Pik3cd","Pik3cd",3203,4357,3702,3324,2161,4029
"Ptger4","Ptger4",53,36,55,295,186,476
"Plcb4","Plcb4",1,4,4,13,0,15
"Dag1","Dag1",3049,3559,3671,4173,3220,4597
"Clstn1","Clstn1",1248,1265,1162,2175,561,517
"Mrap","Mrap",11,5,7,5,2,2
"Etfbkmt","Etfbkmt",178,199,220,209,240,192
"Hip1","Hip1",3714,4214,4101,4359,3496,5408
"Rhou","Rhou",41,27,10,32,19,24
"Ccdc40","Ccdc40",13,32,12,0,1,5
"Zfp292","Zfp292",579,697,764,886,705,1158
"Rsbn1l","Rsbn1l",51,49,65,115,61,130
"Tbc1d16","Tbc1d16",798,1083,1042,1412,1167,1577
"Dtx4","Dtx4",3095,3308,3330,4623,3537,5182
