"","control_cells_1","control_cells_2","control_cells_3","LPS_cells_1","LPS_cells_2","LPS_cells_3"
"mmu-mir-669m-1",26.4344364606222,26.3500509668235,22.820849938523,26.1616294067186,12.8731834321483,24.3742758540263
"mmu-mir-669m-2",25.7001465589383,28.7455101456256,21.1907892286285,23.6700456536978,11.2640355031297,25.7284022903611
"mmu-mir-466n",44.057394101037,34.1352932979304,54.6070337814657,22.4242537771874,20.9189230772409,14.8953907996827
"mmu-mir-669o",237.175638243916,186.246951151866,185.011890573026,160.707152069843,167.351384617927,170.619930978184
"mmu-mir-466g",11.0143485252593,11.3784310993101,11.4104249692615,9.96633501208328,19.3097751482224,10.8330114906783
"mmu-mir-466h",31.5744657724099,16.7682142516149,17.9306678088395,22.4242537771874,25.7463668642965,29.7907815993654
"mmu-mir-297a-3",135.109341909847,124.563877297711,137.740129986085,98.4175582443224,83.6756923089637,105.621862034114
"mmu-mir-297a-4",127.032152991323,124.563877297711,146.705463890505,79.7306800966662,88.5031360960193,115.100747088457
"mmu-mir-669h",6.60860911515555,16.1693494569144,8.96533390441975,8.72054313557287,4.8274437870556,17.6036436723523
"mmu-mir-511",15.420087935363,24.5534565827219,15.4855767439977,1.24579187651041,6.43659171607413,8.12475861800876
"mmu-mir-126a",13.9515081319951,45.5137243972406,28.5260624231537,28.6532131597394,28.9646627223336,32.499034472035
"mmu-mir-199b",35.2459152808296,50.9035075495454,45.641699877046,43.6027156778644,33.7921065093892,25.7284022903611
"mmu-mir-181a-2",12.4829283286272,14.3727550728128,30.1561231330482,2.49158375302082,8.04573964509267,8.12475861800876
"mmu-mir-674",771.738686669832,819.845903945031,868.007328018821,716.330328993486,825.492887586508,631.022919332013
"mmu-mir-103-2",90.3176579071259,73.6603697481657,86.3932176244085,64.7811775785413,59.5384733736857,36.5614137810394
"mmu-mir-7678",2.20286970505185,1.19772958940107,2.44509106484175,13.7037106416145,8.04573964509267,8.12475861800876
"mmu-mir-15b",90.3176579071259,90.4285839997806,105.953946143142,108.383893256406,99.7671715991491,144.891528687823
"mmu-mir-16-2",116.752094367748,104.202474277893,123.069583597035,144.511857675208,138.386721895594,146.245655124158
"mmu-mir-92b",69.0232507582913,68.8694513905614,55.422064136413,75.993304467135,77.2391005928896,69.0604482530744
"mmu-mir-7669",4.4057394101037,4.79091835760427,5.70521248463075,3.73737562953123,9.6548875741112,12.1871379270131
"mmu-let-7j",326.024716347674,361.115471204422,348.017961562476,360.033852311508,360.449136100151,345.302241265372
"mmu-mir-3963",33.7773354774617,30.5421045297272,29.341092778101,36.1279644188019,32.1829585803707,23.0201494176915
"mmu-mir-186",30.105885969042,29.9432397350267,24.4509106484175,34.8821725422915,37.0104023674263,40.6237930900438
"mmu-mir-32",12.4829283286272,5.98864794700534,7.33527319452525,27.407421283229,12.8731834321483,27.0825287266958
"mmu-mir-872",25.7001465589383,30.5421045297272,30.9711534879955,33.6363806657811,28.9646627223336,36.5614137810394
"mmu-mir-101a",49.1974234128247,53.897831523048,44.0116391671515,38.6195481718227,32.1829585803707,48.7485517080525
